,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,83.64,87.47,94.66,86.2,86.99,79.8,73.86,84.66
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,85.28,90.17,95.58,88.84,90.44,91.2,74.49,88.0
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,84.9,90.33,95.56,88.35,91.27,92.0,74.14,88.07857142857142
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,85.29,90.33,95.45,88.62,90.66,90.6,73.1,87.72142857142858
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,84.99,90.28,95.49,88.45,90.44,91.2,74.61,87.92285714285715
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,85.15,90.04,95.54,88.33,90.66,92.0,74.96,88.09714285714287
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-avg,84.87,89.7,95.39,88.52,90.83,92.8,73.51,87.94571428571427
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,83.22,87.15,94.23,85.86,87.64,80.2,73.51,84.54428571428572
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,84.84,90.41,95.66,88.74,90.99,91.8,73.74,88.02571428571427
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,84.75,90.25,95.58,88.23,90.83,91.8,74.03,87.9242857142857
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,85.12,90.3,95.52,88.47,90.66,91.0,74.38,87.92142857142856
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,84.98,90.15,95.43,88.27,90.88,91.6,72.0,87.61571428571428
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,84.83,90.17,95.6,88.63,91.21,92.6,74.49,88.21857142857142
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-avg,84.96,89.93,95.59,88.61,90.66,91.6,74.78,88.01857142857143
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,83.14,87.79,94.39,85.82,87.64,79.6,70.72,84.15714285714286
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,85.06,90.28,95.64,88.8,90.88,91.6,74.14,88.05714285714285
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,85.0,90.33,95.64,88.33,90.94,91.8,74.03,88.00999999999999
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,85.11,90.28,95.53,88.43,90.83,93.0,70.9,87.72571428571428
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,84.95,90.07,95.54,88.39,90.39,91.8,74.26,87.91428571428571
19,roberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,85.01,90.01,95.54,88.62,90.77,92.6,74.09,88.09142857142857
20,roberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-avg,84.91,89.91,95.4,88.49,90.66,91.6,72.87,87.69142857142857
21,roberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-avg,82.71,87.31,93.71,85.4,87.1,81.6,70.9,84.10428571428572
22,roberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-avg,85.46,90.54,95.75,88.39,90.72,91.4,75.77,88.28999999999999
23,roberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,cnn_1d_default-avg,85.18,90.3,95.53,87.58,90.77,93.4,74.9,88.23714285714286
24,roberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,cnn_1d_default-avg,85.38,90.78,95.76,88.13,90.77,91.4,74.67,88.12714285714286
25,roberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-avg,85.23,90.12,95.52,87.91,90.94,90.6,73.62,87.70571428571428
26,roberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-avg,85.32,90.09,95.55,87.97,90.77,92.0,75.54,88.17714285714284
27,roberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,cnn_1d_default-avg,85.2,90.15,95.43,88.05,90.66,92.6,74.72,88.11571428571429
28,roberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-avg,82.81,87.37,94.18,85.84,87.26,79.4,70.96,83.97428571428573
29,roberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-avg,85.32,90.36,95.66,88.87,90.66,91.2,74.09,88.02285714285715
