,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,83.6,87.87,94.82,86.28,87.75,79.0,72.06,84.48285714285713
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,85.19,90.25,95.51,88.65,90.99,90.8,74.09,87.92571428571429
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,85.16,90.09,95.57,88.2,90.83,92.4,74.72,88.13857142857144
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,85.49,90.28,95.38,88.72,90.44,91.8,74.14,88.03571428571429
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,84.93,90.17,95.45,88.43,90.61,91.4,74.61,87.94285714285715
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,85.05,90.3,95.5,88.37,90.88,91.6,75.07,88.11
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls_avg,85.02,90.09,95.53,88.47,90.39,91.4,73.28,87.74
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,83.1,87.5,94.42,86.04,87.26,81.0,74.2,84.78857142857143
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,85.06,90.49,95.66,88.59,90.55,91.6,73.28,87.89
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,84.88,90.39,95.57,88.29,90.83,93.0,73.62,88.08285714285715
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,84.93,89.91,95.58,88.52,90.44,91.0,73.62,87.71428571428571
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,85.02,90.12,95.42,88.15,90.94,92.4,72.17,87.74571428571429
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,84.84,90.07,95.48,88.35,91.32,91.6,73.57,87.89
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,85.06,90.15,95.68,88.58,90.94,91.2,74.09,87.95714285714287
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,83.02,87.92,94.43,86.12,86.0,80.0,73.97,84.49428571428572
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,85.04,90.17,95.52,88.63,91.05,91.6,73.91,87.98857142857142
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,84.96,90.01,95.53,88.25,90.88,91.8,74.43,87.97999999999999
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,85.26,90.04,95.58,88.68,90.88,90.8,74.14,87.91142857142857
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,84.81,90.22,95.55,88.43,90.72,90.8,74.26,87.82714285714285
19,roberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,85.14,90.36,95.58,88.58,90.99,92.0,74.67,88.18857142857142
20,roberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,85.01,90.15,95.42,88.57,91.16,92.0,72.99,87.9
21,roberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,83.64,87.23,94.47,85.26,87.86,80.6,73.51,84.65285714285714
22,roberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,85.38,90.54,95.81,87.97,90.72,92.2,74.72,88.19142857142859
23,roberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,85.41,90.33,95.54,87.56,90.72,92.2,74.78,88.07714285714287
24,roberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,85.32,90.41,95.71,87.99,90.88,91.0,73.86,87.88142857142857
25,roberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,85.3,90.2,95.64,87.97,90.94,91.4,74.2,87.95000000000002
26,roberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,85.1,89.91,95.5,87.82,90.72,93.4,75.71,88.30857142857143
27,roberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,cnn_1d_default-cls_avg,85.24,90.23,95.48,87.94,90.55,92.0,75.25,88.09857142857143
28,roberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,83.28,87.84,94.51,85.83,87.2,83.2,72.99,84.97857142857143
29,roberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,85.15,89.96,95.58,88.68,90.77,92.0,73.8,87.99142857142856
30,roberta-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls_avg,84.96,90.23,95.57,88.18,90.88,92.4,73.86,88.01142857142858
31,roberta-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,85.22,90.41,95.53,88.49,90.66,92.8,74.55,88.23714285714284
32,roberta-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,84.96,90.09,95.33,88.33,90.23,92.4,74.43,87.96714285714286
33,roberta-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls_avg,85.06,90.12,95.58,88.4,90.61,91.8,73.74,87.90142857142857
34,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,cnn_1d_default-cls_avg,84.86,90.07,95.48,88.4,90.77,92.0,74.32,87.9857142857143
35,roberta-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls_avg,83.51,88.03,94.28,86.03,86.93,84.0,72.87,85.09285714285714
36,roberta-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls_avg,85.21,90.28,95.64,88.85,90.55,91.4,74.14,88.01
37,roberta-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls_avg,84.85,90.25,95.58,88.21,90.99,91.6,75.25,88.10428571428572
38,roberta-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls_avg,85.23,90.54,95.58,88.33,90.44,92.0,72.64,87.82285714285715
39,roberta-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls_avg,85.03,90.23,95.3,88.4,90.83,92.2,74.61,88.08571428571429
40,roberta-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls_avg,84.91,89.96,95.45,88.49,90.72,92.2,73.97,87.95714285714287
41,roberta-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,cnn_1d_default-cls_avg,84.82,90.23,95.51,88.47,91.16,91.6,73.1,87.84142857142857
