,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,83.61,82.36,94.98,86.14,87.75,84.2,73.39,84.63285714285713
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.98,90.15,95.23,88.82,90.33,90.4,75.65,87.93714285714285
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.74,90.07,95.53,88.41,90.33,92.4,75.59,88.15285714285714
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,85.14,90.04,95.49,88.97,89.84,90.8,75.48,87.96571428571428
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.82,90.04,95.39,88.46,89.95,91.0,74.72,87.76857142857143
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.7,90.25,95.26,88.56,90.44,91.8,75.42,88.06142857142856
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,84.82,90.07,95.17,88.63,90.66,91.8,75.25,88.05714285714285
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,83.14,88.35,95.06,86.76,86.71,84.4,70.55,84.99571428571427
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.98,90.25,95.68,88.57,90.39,91.6,73.91,87.91142857142857
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.79,89.8,95.54,87.99,90.66,92.6,73.97,87.90714285714286
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.91,90.28,95.64,88.61,89.95,91.2,71.48,87.43857142857144
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.67,90.25,95.57,88.19,90.55,92.2,72.93,87.76571428571431
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.75,90.15,95.57,88.41,90.77,92.4,73.68,87.96142857142857
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,84.65,89.99,95.39,88.1,90.55,91.2,74.03,87.70142857142856
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,83.44,88.05,95.15,86.54,86.77,84.6,71.83,85.19714285714285
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.98,90.28,95.57,88.59,90.5,92.2,73.04,87.88
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.88,90.2,95.52,88.1,90.72,92.6,73.04,87.86571428571428
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.99,89.88,95.47,88.62,90.17,91.6,72.87,87.65714285714286
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.98,90.46,95.43,88.32,89.68,91.8,73.97,87.80571428571429
