,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-cls_avg,73.7,78.6,91.38,79.6,75.23,65.2,68.41,76.01714285714286
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-cls_avg,78.07,84.08,92.92,84.1,80.94,73.8,66.2,80.01571428571428
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-cls_avg,78.36,84.16,93.07,85.0,82.21,84.2,67.77,82.11
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-cls_avg,77.26,82.23,92.94,83.29,80.23,68.2,66.14,78.61285714285715
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-cls_avg,77.56,83.0,93.63,84.97,81.0,70.8,65.91,79.55285714285715
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-cls_avg,78.05,83.95,92.97,84.7,81.55,72.6,66.09,79.98714285714287
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_mean-cls_avg,77.48,82.86,93.06,84.06,80.18,70.4,66.03,79.15285714285714
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls_avg,72.95,78.65,91.83,80.01,72.54,58.0,69.74,74.81714285714285
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls_avg,77.79,84.21,92.79,84.23,81.27,71.4,67.25,79.84857142857143
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls_avg,78.11,84.29,93.12,84.92,83.09,85.4,67.94,82.40999999999998
