,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,82.51,87.21,95.97,88.48,87.04,91.2,70.14,86.07857142857144
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,81.7,87.18,95.55,88.44,86.49,92.8,73.74,86.55714285714285
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,81.24,84.95,94.97,87.95,85.39,89.0,71.65,85.02142857142857
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,82.66,87.23,96.0,88.38,87.86,93.8,74.38,87.18714285714285
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,82.78,86.54,95.75,87.93,87.1,92.4,71.83,86.33285714285715
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,81.58,86.2,95.21,87.64,86.22,92.0,73.68,86.07571428571428
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls,82.7,87.02,95.96,87.45,87.42,92.8,73.04,86.62714285714286
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,82.24,87.29,95.9,88.49,87.1,92.0,70.55,86.2242857142857
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,81.31,86.86,95.62,88.47,86.33,93.4,72.41,86.34285714285714
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,80.14,85.01,95.16,87.87,85.56,90.0,71.77,85.07285714285715
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,82.34,86.86,96.1,88.31,88.14,94.0,74.38,87.16142857142857
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,82.08,86.1,95.98,87.99,87.92,93.8,72.23,86.58571428571429
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,80.85,85.8,95.44,88.04,86.27,92.6,73.04,86.00571428571428
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,82.0,86.65,95.92,87.59,87.92,93.8,73.33,86.74428571428572
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,82.29,87.31,95.95,88.37,86.93,90.6,70.49,85.99142857142859
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,81.39,86.86,95.59,88.48,86.49,92.8,72.52,86.30428571428571
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,80.35,85.06,95.14,87.95,85.5,89.6,70.49,84.87
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,82.31,87.08,96.05,88.49,87.86,93.4,74.61,87.11428571428573
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,82.18,86.31,95.87,87.84,87.59,93.2,72.23,86.46000000000002
19,bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,80.93,85.85,95.4,87.87,86.27,92.2,72.58,85.87142857142858
20,bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,82.39,86.68,95.93,87.54,87.64,93.4,72.52,86.58571428571429
21,bert-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-cls,82.39,87.13,95.53,88.35,86.6,93.2,68.58,85.96857142857144
22,bert-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-cls,82.24,87.18,95.48,88.61,86.6,94.6,72.87,86.79714285714286
23,bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,cnn_1d_default-cls,81.37,86.01,95.18,87.58,86.05,91.4,70.67,85.46571428571428
24,bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,cnn_1d_default-cls,82.8,87.31,96.03,88.34,87.48,94.8,73.45,87.17285714285715
25,bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls,82.73,87.18,95.91,87.87,87.42,94.0,70.61,86.53142857142859
26,bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls,82.02,87.18,95.43,87.98,86.33,94.2,71.71,86.40714285714286
27,bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,cnn_1d_default-cls,82.45,87.42,95.98,87.67,87.97,95.4,73.91,87.25714285714285
28,bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls,82.11,87.29,95.91,88.46,87.1,91.4,70.9,86.16714285714285
29,bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls,81.32,86.94,95.64,88.4,86.38,93.4,72.99,86.43857142857142
30,bert-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls,80.45,85.11,95.17,87.78,85.61,90.0,70.9,85.00285714285714
31,bert-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls,82.39,87.23,96.13,88.21,87.81,94.0,75.13,87.27142857142857
32,bert-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls,82.26,86.28,95.96,87.93,87.81,92.8,72.75,86.54142857142857
33,bert-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls,81.09,85.86,95.46,87.85,86.27,92.6,72.81,85.99142857142859
34,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,cnn_1d_default-cls,82.1,86.65,95.99,87.61,87.86,93.2,72.29,86.52857142857144
35,bert-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls,82.2,87.28,95.94,88.47,86.88,92.0,70.38,86.16428571428571
36,bert-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls,81.42,86.97,95.59,88.41,86.27,93.4,72.75,86.40142857142857
37,bert-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls,80.59,85.11,95.14,87.78,85.45,90.6,70.9,85.08142857142856
38,bert-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls,82.55,87.29,96.1,88.43,87.92,94.6,74.61,87.35714285714286
