,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,82.29,87.2,95.99,88.56,86.66,91.8,70.43,86.13285714285715
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,81.36,86.6,95.61,88.5,86.0,91.6,73.86,86.21857142857142
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,80.22,83.68,94.79,87.79,85.45,88.0,71.83,84.53714285714287
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,82.44,86.81,96.03,88.5,87.48,92.6,74.03,86.84142857142857
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,82.39,85.54,95.67,87.8,87.48,92.2,72.99,86.2957142857143
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,80.91,84.85,95.21,87.78,86.82,91.4,73.91,85.84
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,82.1,85.85,95.87,87.57,87.86,92.8,73.16,86.45857142857142
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,82.04,87.31,95.95,88.66,86.49,92.0,71.48,86.2757142857143
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,80.91,86.44,95.68,88.49,86.38,92.2,73.68,86.25428571428571
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,79.77,83.74,94.93,87.84,85.06,90.2,72.41,84.85
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,82.39,86.68,96.07,88.4,87.31,93.8,75.48,87.16142857142857
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,81.96,85.59,95.75,87.88,87.59,92.2,72.75,86.24571428571429
