,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.4,87.5,96.05,88.71,87.53,91.2,69.57,86.13714285714286
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,81.46,86.54,95.62,88.58,86.22,91.0,74.09,86.21571428571428
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,80.61,84.13,94.94,87.97,84.84,88.2,71.54,84.60428571428572
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.89,87.34,96.08,88.58,87.53,93.2,73.51,87.01857142857143
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.48,85.88,95.89,88.02,87.2,92.4,71.13,86.14285714285714
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,81.24,85.22,95.24,87.7,86.55,91.4,73.45,85.82857142857144
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.59,86.28,95.99,87.93,87.53,92.6,72.58,86.50000000000001
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.07,87.5,95.91,88.72,87.04,91.2,70.03,86.06714285714285
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,80.88,86.6,95.7,88.59,86.38,92.6,73.22,86.28142857142858
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,79.76,84.11,95.06,87.93,85.01,90.2,70.96,84.71857142857144
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.36,87.26,96.11,88.6,87.7,93.8,73.97,87.11428571428573
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.04,85.88,95.78,88.11,87.92,92.4,72.29,86.3457142857143
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,80.65,85.22,95.45,87.89,86.0,92.2,72.81,85.74571428571429
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.15,86.15,96.0,87.86,87.7,93.8,73.33,86.71285714285715
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.38,87.44,96.01,88.7,87.2,91.4,70.43,86.22285714285714
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,81.07,86.6,95.68,88.6,86.38,92.0,74.2,86.36142857142859
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,79.91,84.05,94.99,87.95,85.23,89.2,72.06,84.77000000000001
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.38,87.34,96.02,88.64,87.7,93.6,73.8,87.06857142857142
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,81.86,85.83,95.92,88.13,87.92,92.6,71.3,86.22285714285714
