,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,85.0,87.02,93.79,86.08,88.08,65.8,70.9,82.38142857142857
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,87.41,91.36,96.06,90.79,92.48,95.8,76.81,90.10142857142857
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,87.42,91.23,96.07,90.24,92.7,95.8,76.06,89.93142857142857
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,87.48,91.39,96.04,90.88,92.48,96.0,75.59,89.98
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,87.32,91.21,96.02,90.32,92.53,96.0,76.12,89.93142857142857
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,87.11,91.13,95.96,90.11,92.37,96.0,75.19,89.6957142857143
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-avg,87.14,91.13,95.93,90.1,92.53,95.6,76.35,89.82571428571428
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,84.13,87.23,94.25,86.7,87.31,61.2,71.01,81.69000000000001
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,86.84,91.39,96.05,90.77,91.93,96.0,75.42,89.77142857142857
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,86.87,91.18,95.98,90.29,92.37,96.2,76.12,89.85857142857144
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.93,91.39,96.06,90.79,91.98,96.2,76.81,90.02285714285715
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.86,91.23,96.01,90.3,92.2,96.2,76.64,89.92
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.84,90.94,95.92,90.17,92.2,95.8,76.17,89.72
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-avg,86.8,91.02,95.9,90.08,92.26,95.4,76.58,89.72000000000001
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,84.19,87.55,94.21,86.96,87.04,61.6,71.01,81.79428571428572
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,87.0,91.39,96.08,90.82,91.98,96.0,76.29,89.93714285714285
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,86.85,91.18,95.97,90.31,92.42,95.8,76.29,89.83142857142856
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.9,91.44,96.07,90.82,91.82,96.2,77.39,90.09142857142857
18,deberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.94,91.26,96.01,90.22,92.15,96.0,76.52,89.87142857142855
19,deberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.72,90.94,95.95,90.04,92.15,95.6,76.17,89.65285714285714
20,deberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-avg,86.79,90.81,95.94,90.15,92.04,95.6,76.64,89.71000000000001
21,deberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-avg,85.28,88.29,94.6,87.27,88.08,70.0,71.42,83.56285714285714
22,deberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-avg,87.81,92.03,95.92,89.83,92.26,95.2,73.74,89.54142857142857
23,deberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,cnn_1d_default-avg,87.72,91.55,95.82,89.5,92.09,95.0,74.26,89.41999999999999
24,deberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,cnn_1d_default-avg,87.8,91.97,95.95,89.85,92.31,94.6,75.48,89.70857142857142
25,deberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-avg,87.69,91.74,95.85,89.4,92.04,95.2,74.26,89.4542857142857
