,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,84.74,86.86,94.09,86.38,88.91,68.6,70.78,82.90857142857143
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,87.47,91.42,96.03,90.86,92.48,95.0,75.42,89.81142857142856
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,87.42,91.15,96.0,90.32,92.26,95.8,76.29,89.89142857142856
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,87.54,91.31,96.08,90.94,92.37,96.0,76.46,90.10000000000001
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,87.4,91.21,96.05,90.37,92.15,95.6,77.04,89.97428571428573
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,87.15,91.05,95.9,90.12,92.53,95.6,75.83,89.74000000000001
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls_avg,87.22,90.97,95.87,90.13,92.48,95.4,76.81,89.84000000000002
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,84.12,87.21,94.15,86.64,86.82,65.0,71.07,82.14428571428572
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.84,91.39,96.05,90.78,91.82,95.8,75.65,89.76142857142858
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.84,91.18,95.94,90.28,92.42,95.4,76.87,89.84714285714287
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.88,91.5,96.09,90.82,92.09,95.2,77.39,89.99571428571429
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.91,91.26,96.01,90.23,92.04,95.8,76.12,89.76714285714286
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.7,90.92,95.88,90.24,92.15,96.2,76.17,89.75142857142858
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,86.69,91.07,95.96,90.23,92.2,95.2,77.04,89.77
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,84.23,87.26,93.94,86.58,87.31,64.0,70.72,82.00571428571428
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.95,91.39,96.05,90.8,91.93,95.6,76.06,89.82571428571428
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.83,91.18,95.97,90.3,92.31,96.0,76.46,89.86428571428573
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.95,91.47,96.08,90.84,91.87,96.0,77.04,90.03571428571429
18,deberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.87,91.13,96.04,90.25,92.26,96.0,76.23,89.82571428571428
19,deberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.74,91.0,95.96,90.11,91.93,95.8,76.52,89.72285714285714
20,deberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,86.73,91.02,95.94,90.1,91.98,96.0,77.04,89.83
21,deberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,85.4,88.61,94.66,87.19,88.58,68.4,70.9,83.39142857142856
22,deberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-cls_avg,87.86,91.97,95.85,89.74,92.37,95.2,74.43,89.63142857142859
