,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,84.8,80.27,95.08,87.61,87.97,65.8,69.8,81.61857142857143
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,87.5,91.42,95.93,90.55,92.15,95.8,76.52,89.98142857142857
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,87.19,90.7,95.72,90.11,92.26,95.4,76.17,89.64999999999999
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,87.31,91.44,95.89,90.6,92.31,95.2,76.93,89.95428571428572
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,87.03,90.73,95.78,90.16,91.98,95.0,76.41,89.5842857142857
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,86.98,90.99,95.67,90.18,92.53,95.4,75.65,89.62857142857142
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls,86.97,91.23,95.76,90.14,92.09,94.8,76.81,89.68571428571428
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,84.65,88.35,94.73,87.57,89.24,68.6,71.54,83.52571428571427
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,87.43,91.37,96.07,90.84,92.53,95.0,73.51,89.53571428571429
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,87.22,91.15,96.04,90.28,92.37,94.6,73.62,89.3257142857143
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,87.3,91.42,96.25,90.93,92.37,96.0,74.03,89.75714285714285
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,87.33,91.07,96.11,90.35,92.86,95.0,74.03,89.53571428571429
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,87.28,90.91,95.94,90.26,92.75,93.8,73.97,89.27285714285713
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,87.06,90.94,95.97,90.2,92.64,95.2,74.55,89.50857142857141
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,84.85,88.29,94.77,87.44,88.96,72.0,70.9,83.88714285714285
