,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,83.17,74.28,90.06,78.56,85.61,59.2,71.71,77.51285714285714
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,88.13,91.82,96.29,91.38,92.31,96.2,76.41,90.36285714285714
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,88.06,91.44,96.26,91.24,92.04,96.4,76.23,90.23857142857143
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,88.1,91.82,96.23,91.38,92.26,96.2,77.28,90.46714285714286
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,88.12,91.47,96.29,91.21,92.04,96.4,76.81,90.3342857142857
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,88.03,91.79,96.32,91.23,92.75,96.0,76.0,90.30285714285715
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,88.1,91.76,96.34,91.25,92.7,96.4,76.87,90.48857142857143
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.72,75.58,91.93,82.68,86.93,62.2,67.88,78.27428571428572
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,87.4,91.74,96.16,91.18,92.04,96.4,77.04,90.27999999999999
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,87.45,91.44,96.26,91.15,91.82,96.4,76.64,90.16571428571429
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.4,91.71,96.27,91.23,92.09,95.8,77.8,90.32857142857142
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.46,91.44,96.3,91.16,91.98,96.4,76.46,90.17142857142858
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.36,91.74,96.17,91.19,92.2,96.4,75.36,90.05999999999999
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,87.36,91.66,96.22,91.13,92.15,96.2,76.17,90.12714285714286
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.82,75.53,91.53,82.08,85.78,59.6,68.06,77.77142857142859
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,87.47,91.74,96.21,91.23,91.87,96.2,77.16,90.26857142857143
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,87.56,91.47,96.27,91.19,91.93,96.0,76.46,90.1257142857143
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.51,91.71,96.26,91.2,91.93,96.6,77.45,90.38000000000001
18,deberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.58,91.52,96.27,91.19,91.93,96.0,76.87,90.19428571428571
19,deberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.59,91.58,96.15,91.21,92.37,96.0,76.41,90.18714285714286
20,deberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,87.56,91.63,96.25,91.17,92.37,96.4,76.75,90.30428571428571
21,deberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.52,88.77,94.47,86.41,88.3,74.8,71.83,84.3
22,deberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,88.17,91.76,95.89,90.39,92.48,95.2,75.77,89.95142857142856
23,deberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,88.24,91.5,95.91,90.41,92.37,95.0,73.62,89.57857142857142
24,deberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,88.17,91.73,96.0,90.4,92.53,94.8,75.36,89.85571428571427
25,deberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,88.22,91.6,96.03,90.37,92.42,95.0,74.96,89.80000000000003
26,deberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,88.2,91.66,95.97,90.55,92.26,94.8,75.07,89.78714285714285
27,deberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,88.1,91.66,96.02,90.58,92.7,94.4,74.72,89.74
28,deberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,83.35,84.32,93.15,84.88,87.64,63.0,69.62,80.85142857142857
29,deberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,87.59,91.87,96.22,91.05,92.26,95.6,77.04,90.23285714285714
