,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,85.19,80.21,94.78,87.17,87.86,66.6,69.22,81.57571428571428
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.39,91.42,95.75,90.41,92.26,95.2,76.06,89.78428571428572
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.16,90.92,95.59,90.39,91.93,95.8,76.06,89.69285714285714
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.34,91.26,95.7,90.52,91.98,95.4,76.52,89.81714285714285
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.23,90.73,95.69,90.32,91.98,96.0,76.46,89.77285714285715
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.12,91.02,95.42,90.18,92.37,95.8,76.12,89.71857142857142
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,87.13,90.99,95.37,90.25,91.98,95.8,76.06,89.6542857142857
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.96,88.37,94.89,87.59,88.52,67.4,71.42,83.30714285714284
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.58,91.23,96.05,90.66,92.42,94.4,73.86,89.45714285714287
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.24,90.81,96.03,90.19,92.53,94.8,73.86,89.35142857142857
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.56,91.42,96.18,90.72,92.64,95.2,74.32,89.72
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.34,91.02,96.09,90.26,92.86,95.6,72.87,89.43428571428572
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.51,90.52,95.98,90.2,92.86,94.8,73.68,89.36428571428571
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,87.28,90.52,95.99,90.17,92.53,95.6,74.32,89.48714285714287
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,85.47,88.69,94.68,87.5,87.97,69.2,71.88,83.62714285714287
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.47,91.37,96.1,90.62,92.59,95.2,73.97,89.61714285714287
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.31,91.07,95.97,90.09,92.75,94.8,73.74,89.39
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.45,91.42,96.14,90.63,93.14,96.2,73.97,89.85000000000001
18,deberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.45,91.15,96.02,90.29,93.03,95.8,74.32,89.72285714285714
19,deberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.14,90.92,95.87,90.19,92.75,94.2,74.26,89.33285714285715
20,deberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,87.24,90.84,95.94,90.19,92.81,95.6,74.72,89.62
21,deberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,85.4,88.35,94.56,87.43,88.03,73.8,69.68,83.89285714285714
22,deberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.11,91.0,95.59,90.18,92.53,93.8,71.36,88.7957142857143
23,deberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.1,90.23,95.63,90.06,92.86,93.4,71.48,88.67999999999999
24,deberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.35,91.39,95.76,90.22,92.31,94.8,72.29,89.16
25,deberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.11,90.76,95.6,90.05,92.59,94.4,72.75,89.03714285714285
26,deberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.03,90.33,95.43,90.04,92.92,94.8,70.67,88.74571428571429
27,deberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,86.99,90.6,95.39,89.87,92.59,94.0,72.46,88.84285714285714
28,deberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,85.01,88.5,94.9,87.46,88.03,71.8,70.84,83.79142857142857
29,deberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.46,91.26,96.01,90.55,92.37,94.2,72.75,89.22857142857143
