,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,86.09,91.23,96.11,89.61,89.73,87.0,71.19,87.28
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,86.86,91.84,96.09,91.03,91.87,95.2,74.9,89.6842857142857
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,86.06,90.07,95.88,90.14,90.99,92.2,72.75,88.29857142857144
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,86.96,92.03,96.48,91.03,92.37,95.2,75.19,89.89428571428572
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,86.62,91.29,96.33,90.12,91.49,93.0,73.22,88.86714285714287
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,86.59,91.23,96.07,90.56,91.43,95.2,74.2,89.3257142857143
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-avg,86.96,91.63,96.37,90.54,91.65,94.8,75.01,89.56571428571428
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,86.04,90.99,96.04,89.56,90.06,87.4,71.59,87.38285714285715
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,86.64,91.63,96.14,91.0,91.65,95.6,74.84,89.64285714285714
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,85.99,90.01,95.85,90.23,91.16,92.6,71.77,88.23
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.94,92.18,96.47,91.01,92.2,95.8,75.83,90.06142857142858
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.54,91.37,96.31,90.2,91.71,92.6,73.91,88.94857142857143
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.35,91.15,95.99,90.68,91.38,95.4,73.91,89.26571428571428
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-avg,86.73,91.5,96.35,90.61,91.54,95.0,74.72,89.49285714285715
