,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,86.05,90.99,96.18,89.55,89.46,88.2,71.83,87.4657142857143
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,86.87,91.79,96.07,91.1,91.71,95.4,75.59,89.79
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,86.08,90.1,95.97,90.17,91.38,92.6,72.58,88.41142857142857
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,86.97,92.03,96.43,91.09,92.48,95.8,76.0,90.11428571428571
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,86.69,91.44,96.34,90.18,91.43,92.8,73.57,88.92142857142858
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,86.62,91.31,96.01,90.65,91.38,95.4,74.26,89.37571428571428
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls_avg,86.89,91.66,96.4,90.58,91.32,95.0,75.54,89.62714285714286
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.07,90.97,96.04,89.63,89.73,87.8,72.23,87.49571428571429
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.66,91.66,96.06,91.14,91.65,95.6,74.96,89.67571428571429
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,85.93,90.07,95.91,90.29,91.21,92.8,72.17,88.33999999999999
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.94,92.21,96.4,90.98,92.53,95.8,74.61,89.9242857142857
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.55,91.47,96.29,90.2,91.71,92.4,72.81,88.7757142857143
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.36,91.18,96.04,90.69,91.71,95.2,73.74,89.27428571428572
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,86.78,91.58,96.34,90.7,91.65,95.0,74.78,89.54714285714286
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.04,90.94,96.01,89.63,89.9,88.0,71.36,87.41142857142857
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.68,91.66,96.0,91.11,91.76,95.6,75.54,89.76428571428572
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,86.01,90.04,95.93,90.28,91.21,92.6,72.41,88.3542857142857
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,87.0,92.1,96.46,91.07,92.53,96.0,76.58,90.24857142857142
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,86.61,91.42,96.31,90.21,91.71,92.6,72.52,88.76857142857143
