,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.76,91.02,95.95,89.66,88.52,91.2,69.33,87.34857142857143
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.77,91.68,96.15,90.93,90.88,96.2,76.46,89.86714285714287
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.38,90.28,95.96,90.77,90.55,92.6,74.49,88.71857142857142
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,87.07,92.5,96.49,90.85,91.32,96.2,76.23,90.0942857142857
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.64,92.08,96.38,90.72,90.55,94.2,74.61,89.31142857142858
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.69,91.34,96.11,91.12,91.21,95.6,76.06,89.73285714285713
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.92,92.26,96.26,91.01,90.94,95.8,76.46,89.95
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.68,91.5,95.68,89.5,89.51,91.6,73.57,88.14857142857143
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.69,91.44,96.06,91.28,91.87,95.6,77.68,90.08857142857144
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.2,90.44,95.84,90.74,91.1,93.6,76.17,89.1557142857143
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.78,92.13,96.23,91.31,91.98,95.8,77.22,90.20714285714287
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.4,91.58,96.2,90.84,91.32,94.0,76.41,89.53571428571426
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.39,91.21,95.94,91.2,91.82,95.2,77.28,89.86285714285714
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.76,91.9,96.27,91.27,91.32,95.6,76.99,90.01571428571428
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.65,91.39,95.72,89.52,89.57,91.6,73.22,88.09571428571428
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.62,91.58,96.08,91.22,91.49,95.8,77.68,90.06714285714285
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.39,90.28,95.76,90.84,90.94,93.8,75.59,89.08571428571429
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.93,92.24,96.23,91.23,92.04,96.4,77.16,90.31857142857143
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.57,91.63,96.21,90.68,91.27,94.6,76.41,89.6242857142857
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.58,91.2,96.0,91.26,91.71,95.2,77.39,89.90571428571427
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.71,91.87,96.3,91.29,91.65,95.6,77.16,90.08285714285715
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.59,91.42,95.77,89.37,89.73,91.4,72.64,87.98857142857142
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.98,91.84,96.15,91.18,92.2,95.8,76.87,90.14571428571428
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.28,90.81,96.02,90.63,90.99,94.0,75.07,89.11428571428571
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,87.07,92.32,96.41,91.17,91.87,96.4,77.04,90.32571428571428
25,allmpnet,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.61,92.26,96.26,90.7,91.76,94.4,76.75,89.82000000000001
26,allmpnet,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.55,91.95,96.06,91.3,91.65,95.6,76.99,90.01428571428572
27,allmpnet,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,87.05,92.5,96.41,91.11,91.65,96.0,77.62,90.33428571428571
28,allmpnet,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.72,91.58,95.7,89.47,89.4,91.4,73.33,88.08571428571429
29,allmpnet,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.72,91.71,96.15,91.17,92.04,95.6,77.86,90.17857142857144
30,allmpnet,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.2,90.41,95.93,90.8,91.1,93.8,76.0,89.17714285714285
31,allmpnet,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,87.02,92.26,96.24,91.29,92.2,96.0,77.51,90.36
32,allmpnet,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.76,91.68,96.09,90.83,91.49,94.4,76.52,89.68142857142857
33,allmpnet,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.63,91.05,96.0,91.23,91.82,95.4,77.28,89.91571428571429
34,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.66,92.0,96.23,91.26,91.1,95.2,77.1,89.9357142857143
35,allmpnet,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.61,91.39,95.83,89.47,89.51,92.0,73.1,88.13
36,allmpnet,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.73,91.81,96.08,91.21,91.87,95.8,77.86,90.19428571428571
37,allmpnet,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.22,90.44,95.87,90.81,91.05,93.8,75.59,89.11142857142856
38,allmpnet,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.92,92.37,96.35,91.2,91.98,96.2,77.57,90.36999999999999
39,allmpnet,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.68,91.84,96.2,90.84,91.38,94.8,76.52,89.75142857142858
40,allmpnet,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.36,91.29,96.19,91.28,91.71,95.2,77.51,89.9342857142857
41,allmpnet,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.78,92.11,96.21,91.19,91.65,95.6,76.99,90.07571428571428
