,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.95,90.94,96.06,89.55,89.79,90.0,71.01,87.61428571428571
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.87,91.74,96.06,91.07,91.82,95.4,75.25,89.74428571428572
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.02,89.98,95.82,90.13,91.16,92.4,72.12,88.23285714285714
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,87.02,92.16,96.45,91.03,92.37,95.4,74.67,89.87142857142855
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.71,91.31,96.32,90.11,91.54,91.8,73.04,88.68999999999998
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.56,91.34,95.99,90.49,91.54,95.4,73.97,89.32714285714287
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.82,91.71,96.33,90.5,91.54,94.8,75.07,89.53857142857143
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.0,91.15,96.08,89.54,89.84,91.4,71.83,87.97714285714287
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.66,91.68,96.13,91.02,91.71,95.6,75.36,89.73714285714286
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.0,90.07,95.84,90.25,91.16,93.0,72.17,88.35571428571427
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.89,92.11,96.47,91.03,92.15,95.8,76.58,90.14714285714285
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.55,91.29,96.34,90.17,91.6,92.6,72.52,88.72428571428573
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.41,91.07,95.99,90.67,91.49,95.4,73.8,89.26142857142857
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.67,91.58,96.33,90.58,91.54,94.8,74.38,89.41142857142857
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.07,90.92,96.06,89.52,89.79,88.8,71.71,87.55285714285715
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.67,91.68,96.13,91.03,91.71,95.6,74.96,89.68285714285715
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.03,90.01,95.83,90.19,91.21,92.6,72.58,88.35000000000001
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.99,92.13,96.48,91.02,92.53,95.8,74.38,89.9042857142857
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.61,91.36,96.37,90.12,91.71,92.8,73.91,88.98285714285714
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.41,91.18,96.05,90.67,91.27,95.4,73.62,89.22857142857143
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.72,91.55,96.35,90.66,91.87,95.0,74.78,89.56142857142856
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.6,90.38,95.44,89.62,87.59,84.0,66.84,85.49571428571429
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.2,91.42,96.03,90.5,91.27,95.8,74.14,89.33714285714284
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.64,90.65,95.67,89.75,90.88,91.6,70.14,87.76142857142858
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.14,91.44,96.34,90.47,91.27,95.4,73.45,89.21571428571428
25,allmpnet,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.74,90.86,96.2,89.73,91.54,91.0,72.12,88.17
26,allmpnet,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.93,90.7,95.98,89.62,91.43,95.0,72.06,88.67428571428572
27,allmpnet,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,85.81,91.1,96.23,89.61,91.76,95.0,72.64,88.87857142857142
28,allmpnet,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.07,91.07,96.0,89.5,90.23,91.2,71.01,87.86857142857143
29,allmpnet,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.74,91.71,96.12,91.08,91.76,95.6,74.49,89.64285714285714
30,allmpnet,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.87,89.83,95.91,90.21,91.05,92.6,72.23,88.24285714285715
31,allmpnet,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.85,92.08,96.4,91.1,92.2,95.6,75.01,89.89142857142858
32,allmpnet,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.52,91.18,96.36,90.19,91.87,93.0,73.86,88.99714285714286
33,allmpnet,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.37,91.02,96.06,90.71,91.27,95.4,73.04,89.1242857142857
34,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.65,91.55,96.34,90.74,91.6,95.2,74.32,89.4857142857143
35,allmpnet,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.05,91.07,96.01,89.55,89.73,87.4,71.42,87.31857142857143
36,allmpnet,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.76,91.71,96.08,91.02,91.82,95.6,74.72,89.67285714285715
37,allmpnet,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.94,89.96,95.94,90.21,91.27,92.4,72.06,88.25428571428571
