,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,83.65,87.58,94.74,86.07,86.35,71.85,73.21,83.35000000000001
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,85.26,90.1,95.62,88.7,88.88,85.38,74.85,86.97000000000001
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,85.02,89.89,95.56,88.05,89.11,85.8,74.92,86.90714285714286
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,85.33,90.05,95.64,88.55,88.42,84.08,74.93,86.71428571428571
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,85.15,89.89,95.5,88.17,88.76,85.33,74.8,86.8
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,85.07,89.83,95.51,88.24,89.33,85.89,75.44,87.0442857142857
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls_avg,85.22,89.84,95.52,88.34,88.99,85.07,74.88,86.83714285714287
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,83.26,87.62,94.42,86.18,87.04,74.1,72.42,83.57714285714285
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,85.06,90.18,95.65,88.58,89.11,85.27,74.97,86.97428571428573
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,84.86,89.9,95.57,87.98,88.76,85.99,74.65,86.81571428571428
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,85.06,90.09,95.64,88.48,88.19,84.28,73.7,86.49142857142859
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,84.88,89.89,95.56,88.18,88.76,85.16,73.94,86.6242857142857
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,84.9,89.73,95.51,88.21,88.53,85.73,74.7,86.75857142857144
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls_avg,84.99,89.83,95.58,88.31,88.42,85.38,73.36,86.55285714285715
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,83.3,87.6,94.46,86.07,85.67,73.31,72.3,83.24428571428571
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,85.08,90.11,95.66,88.63,89.11,85.47,74.41,86.92428571428572
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,84.9,89.85,95.57,88.0,88.88,85.82,74.58,86.8
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,85.09,90.13,95.64,88.58,88.42,84.41,73.87,86.59142857142857
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls_avg,84.95,89.86,95.54,88.19,88.07,85.16,74.66,86.63285714285713
