,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,83.54,82.35,94.88,86.14,86.35,76.45,72.42,83.16142857142857
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,85.04,90.16,95.41,88.78,88.76,85.14,76.13,87.05999999999999
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,84.86,90.06,95.32,88.24,88.65,85.62,76.25,87.0
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,85.14,90.09,95.5,88.65,88.3,84.02,75.86,86.79428571428572
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,84.93,89.94,95.35,88.3,88.3,85.16,75.56,86.79142857142857
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,84.9,90.08,95.33,88.4,88.65,85.62,76.81,87.11285714285714
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls,84.89,90.01,95.42,88.37,88.76,85.16,76.13,86.96285714285715
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,83.59,87.85,94.95,86.53,86.35,76.65,72.67,84.0842857142857
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,84.99,90.08,95.71,88.59,88.53,85.38,74.41,86.81285714285714
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,84.82,89.82,95.64,87.96,88.53,86.02,74.34,86.73285714285714
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,85.05,90.03,95.73,88.51,88.42,83.97,74.09,86.54285714285716
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,84.87,89.85,95.6,88.19,88.07,85.2,73.87,86.52142857142857
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,84.87,89.7,95.59,88.17,88.53,86.02,74.36,86.74857142857142
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,84.84,89.89,95.6,88.29,88.76,85.07,73.65,86.58571428571429
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,83.56,87.8,95.01,86.51,86.81,76.19,72.13,84.00142857142858
