,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,83.68,81.88,94.95,86.02,86.93,76.96,72.4,83.25999999999999
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,85.02,90.15,95.42,88.82,88.76,85.16,76.18,87.07285714285715
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.84,90.02,95.4,88.3,88.3,85.66,75.93,86.92142857142858
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,85.15,90.06,95.55,88.64,88.07,84.04,75.86,86.76714285714286
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.91,89.94,95.42,88.3,88.19,84.96,75.91,86.80428571428571
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.91,90.06,95.37,88.38,88.42,85.51,76.67,87.0457142857143
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,84.93,90.02,95.43,88.43,88.07,85.03,76.35,86.89428571428572
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,83.53,88.26,95.14,86.67,86.7,78.39,71.98,84.38142857142859
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,85.01,89.99,95.67,88.52,88.3,85.33,74.43,86.75
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.81,89.7,95.59,87.88,88.65,85.69,73.82,86.59142857142855
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,85.03,89.98,95.65,88.49,88.07,83.84,74.16,86.46
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.84,89.82,95.59,88.16,88.3,85.09,73.38,86.4542857142857
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.87,89.63,95.56,88.12,88.42,85.78,73.94,86.61714285714285
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,84.89,89.8,95.57,88.21,88.42,84.83,73.26,86.42571428571429
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,83.59,88.28,95.14,86.75,86.24,79.22,71.91,84.44714285714285
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,85.01,89.94,95.63,88.54,88.42,85.42,74.34,86.75714285714287
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.82,89.82,95.54,87.96,88.53,86.08,74.66,86.77285714285713
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,85.02,89.96,95.63,88.48,88.3,84.26,74.97,86.66000000000001
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.86,89.82,95.53,88.12,88.07,84.98,73.99,86.48142857142857
19,roberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.87,89.65,95.49,88.19,88.53,85.78,74.66,86.73857142857142
20,roberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,84.91,89.78,95.5,88.24,88.42,85.27,73.65,86.53857142857143
21,roberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,83.42,88.73,95.23,86.26,86.35,81.38,71.76,84.73285714285714
22,roberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.88,90.02,95.68,87.81,88.88,85.86,74.24,86.76714285714286
23,roberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.65,89.58,95.49,87.42,89.11,85.78,74.43,86.63714285714286
24,roberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,85.04,90.0,95.69,87.84,88.3,84.74,72.77,86.34
25,roberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.94,89.72,95.55,87.5,89.22,85.33,73.28,86.50571428571428
26,roberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.71,89.37,95.48,87.45,89.33,85.86,73.33,86.50428571428571
27,roberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,84.83,89.53,95.5,87.6,88.76,85.42,72.1,86.24857142857142
28,roberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,83.46,88.64,95.16,86.58,87.27,79.64,71.79,84.64857142857143
29,roberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,85.08,90.05,95.73,88.47,88.88,85.53,73.94,86.81142857142858
30,roberta-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.84,89.76,95.64,87.9,88.76,85.73,74.14,86.68142857142857
31,roberta-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,85.13,90.04,95.7,88.45,88.53,84.28,73.99,86.58857142857143
32,roberta-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.89,89.79,95.64,88.14,88.19,84.78,72.99,86.34571428571428
33,roberta-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,84.91,89.68,95.6,88.11,88.76,85.77,73.97,86.6857142857143
34,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,84.96,89.81,95.62,88.1,88.76,84.89,72.79,86.41857142857143
35,roberta-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,83.55,88.46,95.12,86.62,87.61,79.59,72.23,84.74000000000001
