,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls,75.65,80.42,91.82,82.3,79.47,72.65,70.24,78.93571428571428
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls,78.34,84.44,93.14,84.55,82.11,73.42,67.66,80.52285714285715
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls,78.97,84.54,93.15,85.27,82.91,85.23,69.04,82.72999999999999
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,77.72,83.46,93.39,84.62,81.77,70.41,67.49,79.83714285714287
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,78.78,84.29,93.67,85.29,83.94,84.01,67.71,82.52714285714286
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,78.57,84.41,93.04,85.1,81.88,75.84,67.66,80.92857142857143
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_sum-cls,78.27,83.81,93.22,85.21,82.57,74.58,67.52,80.74
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls,74.44,80.53,91.83,80.86,77.29,57.56,71.07,76.22571428571429
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls,78.2,84.59,93.09,84.15,81.88,66.56,69.33,79.6857142857143
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls,78.76,84.43,93.24,85.29,82.22,77.7,72.3,81.99142857142859
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,77.39,83.78,93.16,83.68,80.73,65.37,68.23,78.9057142857143
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,78.13,84.25,93.57,85.18,81.42,72.29,70.14,80.71142857142857
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,78.23,84.41,93.1,84.93,81.88,69.09,68.13,79.96714285714286
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_sum-cls,77.84,83.94,93.39,84.79,80.39,67.2,67.93,79.35428571428572
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls,74.64,80.56,92.0,80.9,76.49,60.22,70.73,76.50571428571429
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls,78.14,84.61,93.05,84.2,82.22,66.95,68.94,79.73
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls,78.7,84.44,93.18,85.28,82.34,79.53,71.64,82.15857142857143
17,modern-bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,77.45,83.83,93.35,83.58,79.82,65.72,68.28,78.86142857142856
18,modern-bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,78.14,84.38,93.66,85.28,81.08,72.82,69.92,80.7542857142857
19,modern-bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,78.28,84.5,93.15,84.86,82.11,69.17,68.23,80.04285714285716
20,modern-bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_sum-cls,77.92,83.99,93.33,84.92,81.31,67.68,67.49,79.52
21,modern-bert-base,CLS_NLI,simple,CLS,NLI,4,768,22,0,None,dynamic_layer_weighted_sum-cls,74.23,80.88,92.31,78.17,74.89,52.88,69.82,74.74000000000001
22,modern-bert-base,AVG_NLI,simple,AVG,NLI,4,768,22,0,None,dynamic_layer_weighted_sum-cls,77.87,84.76,93.14,82.43,81.77,65.46,68.01,79.06285714285714
23,modern-bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,22,0,None,dynamic_layer_weighted_sum-cls,78.35,85.24,93.4,83.8,82.68,72.78,69.92,80.88142857142857
24,modern-bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,22,0,None,dynamic_layer_weighted_sum-cls,77.17,83.99,93.33,80.57,81.19,61.46,67.37,77.86857142857141
