,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,82.35,87.03,95.94,88.67,86.35,86.3,71.66,85.47142857142856
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,81.4,86.17,95.54,88.4,86.47,85.99,75.1,85.58142857142857
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls_avg,80.43,84.03,94.92,87.64,85.21,81.35,74.22,83.97142857142856
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,82.7,86.69,95.96,88.54,87.96,88.06,75.98,86.55571428571429
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,82.34,85.81,95.75,87.89,88.07,86.59,73.7,85.73571428571428
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls_avg,81.13,85.31,95.16,87.74,87.39,85.23,75.64,85.37142857142858
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls_avg,82.32,86.06,95.81,87.71,88.07,87.0,75.22,86.02714285714286
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,82.32,87.16,95.91,88.6,86.81,87.01,71.37,85.59714285714287
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,80.9,86.21,95.58,88.43,85.78,86.43,74.71,85.4342857142857
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls_avg,79.77,84.07,95.02,87.65,85.32,82.5,72.67,83.85714285714285
