,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,82.36,87.15,95.9,88.45,88.07,86.79,71.56,85.75428571428571
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,81.69,86.51,95.51,88.19,86.24,86.26,75.0,85.62857142857142
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,80.94,85.02,94.93,87.6,85.32,82.96,73.53,84.32857142857142
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,82.73,86.8,95.96,88.27,87.5,88.52,75.64,86.48857142857142
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,82.51,86.16,95.76,87.66,88.07,87.56,74.09,85.97285714285715
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,81.35,85.82,95.19,87.66,86.24,85.89,75.15,85.32857142857142
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls,82.33,86.41,95.8,87.58,87.84,87.58,75.19,86.10428571428572
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,82.22,87.1,95.85,88.46,87.5,87.51,71.29,85.7042857142857
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,81.28,86.28,95.58,88.2,86.12,86.96,74.17,85.51285714285713
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,80.3,84.52,95.18,87.63,84.98,83.58,72.55,84.10571428571428
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,82.55,86.69,96.0,88.24,87.27,88.5,76.05,86.47142857142856
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,82.17,85.97,95.9,87.58,87.84,88.1,73.85,85.91571428571429
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,80.84,85.52,95.44,87.7,86.24,86.54,74.88,85.30857142857143
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,82.11,86.08,95.92,87.52,87.73,88.24,74.83,86.06142857142858
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,82.23,87.14,95.83,88.47,87.61,87.18,71.51,85.71000000000001
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,81.32,86.33,95.56,88.18,86.24,86.87,74.43,85.56142857142858
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,80.34,84.53,95.16,87.66,84.86,83.46,72.28,84.04142857142857
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,82.55,86.65,96.0,88.24,87.61,88.35,75.47,86.41
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,82.15,86.04,95.9,87.63,87.96,87.84,73.94,85.92285714285715
19,bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,81.0,85.54,95.4,87.73,86.01,86.5,74.61,85.25571428571429
20,bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,82.14,86.15,95.88,87.55,87.84,88.17,74.58,86.04428571428572
21,bert-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-cls,82.12,87.01,95.65,88.41,87.16,88.56,70.31,85.60285714285712
22,bert-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-cls,81.89,86.95,95.54,88.54,86.01,87.66,73.16,85.67857142857143
23,bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,cnn_1d_default-cls,81.09,86.0,95.18,87.43,85.44,86.12,71.27,84.64714285714285
24,bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,cnn_1d_default-cls,82.67,87.22,95.93,88.37,87.39,89.31,74.51,86.48571428571428
25,bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls,82.45,87.11,95.89,87.76,87.5,88.88,74.09,86.24
26,bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls,81.66,86.79,95.43,87.9,85.78,88.13,73.06,85.53571428571429
27,bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,cnn_1d_default-cls,82.3,87.14,95.88,87.65,87.73,89.03,74.48,86.3157142857143
28,bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls,82.24,87.11,95.8,88.5,87.27,87.51,71.37,85.68571428571428
29,bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls,81.39,86.42,95.59,88.21,86.01,87.0,74.26,85.5542857142857
30,bert-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls,80.4,84.85,95.18,87.65,85.09,84.06,72.33,84.22285714285715
31,bert-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls,82.49,86.72,95.97,88.32,87.73,88.59,75.88,86.52857142857142
32,bert-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls,82.21,86.12,95.94,87.66,87.96,88.11,73.92,85.9885714285714
33,bert-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls,81.0,85.73,95.45,87.7,86.01,86.9,74.53,85.33142857142856
34,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,cnn_1d_default-cls,82.12,86.22,95.92,87.56,88.19,88.02,74.78,86.11571428571428
35,bert-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls,82.24,87.11,95.82,88.49,87.84,87.4,71.2,85.72857142857143
36,bert-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls,81.42,86.43,95.58,88.21,85.89,86.79,74.48,85.54285714285713
37,bert-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls,80.47,84.86,95.19,87.66,84.86,83.79,72.47,84.18571428571428
38,bert-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls,82.55,86.77,96.0,88.24,87.84,88.46,75.76,86.51714285714286
39,bert-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls,82.24,86.1,95.92,87.65,87.84,87.89,73.72,85.90857142857143
40,bert-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,cnn_1d_default-cls,81.07,85.73,95.45,87.72,86.24,86.61,74.53,85.33571428571429
41,bert-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,cnn_1d_default-cls,82.18,86.29,95.91,87.56,88.53,88.1,74.88,86.20714285714287
