,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.57,87.22,95.91,88.95,86.81,87.2,72.01,85.80999999999999
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.79,86.78,95.68,89.1,85.89,87.36,75.27,85.98142857142857
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.8,85.13,95.32,88.21,85.44,84.21,74.04,84.73571428571428
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,83.13,87.39,96.11,89.23,88.3,88.61,76.27,87.00571428571428
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.74,86.69,96.03,88.62,87.84,88.21,73.94,86.29571428571431
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,81.52,86.01,95.61,88.46,87.04,86.9,75.74,85.89714285714285
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,82.86,86.75,96.09,88.64,88.07,88.57,76.4,86.76857142857143
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.42,87.06,95.89,88.88,87.04,87.14,71.44,85.6957142857143
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.54,86.79,95.65,88.96,85.89,87.22,75.27,85.90285714285713
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.39,85.17,95.32,88.18,85.78,83.62,73.75,84.60142857142857
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,83.02,87.38,96.11,89.05,87.84,88.57,76.08,86.86428571428573
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.52,86.6,96.01,88.56,87.61,87.8,74.61,86.24428571428572
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,81.21,86.02,95.61,88.5,86.7,86.63,75.51,85.74
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,82.67,86.74,96.06,88.56,87.84,88.24,76.32,86.63285714285715
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.44,87.09,95.9,88.9,86.93,86.96,71.69,85.70142857142858
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.6,86.81,95.65,88.99,85.89,87.14,75.34,85.91714285714286
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.45,85.13,95.31,88.17,85.78,83.64,73.48,84.5657142857143
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,83.04,87.38,96.12,89.08,87.96,88.61,76.0,86.88428571428571
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.54,86.63,96.02,88.56,87.27,87.89,74.36,86.18142857142857
19,bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,81.28,86.01,95.58,88.47,86.93,86.76,75.83,85.83714285714288
20,bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,82.71,86.73,96.07,88.56,87.73,88.26,76.25,86.61571428571429
21,bert-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.84,86.34,95.7,88.57,85.55,87.29,71.22,85.21571428571428
22,bert-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.71,86.52,95.54,88.72,84.86,87.6,75.93,85.84000000000002
23,bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.87,84.85,95.2,88.04,84.98,84.61,73.41,84.5657142857143
24,bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.58,86.99,96.05,88.89,86.81,88.74,76.28,86.61999999999999
25,bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,82.03,86.16,95.99,88.28,87.04,88.48,74.53,86.07285714285715
26,bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,81.43,85.84,95.46,88.32,85.89,87.44,76.55,85.84714285714286
27,bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,82.21,86.28,95.99,88.26,87.5,88.22,76.27,86.39
