,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.35,87.1,95.92,88.64,86.35,86.17,71.81,85.47714285714285
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,81.42,86.15,95.55,88.38,86.58,86.08,75.32,85.64
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,80.48,84.06,94.94,87.61,84.86,81.27,73.31,83.78999999999999
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.71,86.59,95.99,88.52,87.96,87.77,75.73,86.46714285714286
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.36,85.85,95.76,87.88,88.19,86.34,73.9,85.75428571428571
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,81.12,85.33,95.21,87.73,87.39,85.33,75.59,85.38571428571429
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.31,86.06,95.82,87.72,88.07,87.22,75.71,86.13
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.3,87.08,95.91,88.59,87.16,87.12,71.54,85.67142857142856
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,80.9,86.25,95.58,88.43,85.89,86.52,74.83,85.4857142857143
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,79.74,84.07,95.01,87.65,85.44,82.68,72.72,83.90142857142858
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.64,86.82,96.03,88.39,87.61,88.52,75.69,86.52857142857144
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.04,85.99,95.81,87.8,87.5,87.14,73.55,85.69000000000001
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,80.58,85.37,95.26,87.76,87.16,85.89,74.61,85.23285714285714
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,81.98,86.1,95.88,87.74,87.84,87.55,74.95,86.00571428571428
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,82.28,87.04,95.9,88.6,86.93,86.81,71.64,85.60000000000001
