,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,82.31,87.11,95.86,88.46,88.19,87.01,71.66,85.8
1,bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,81.67,86.46,95.48,88.22,86.24,86.21,75.22,85.64285714285715
2,bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,80.93,84.99,94.92,87.62,85.67,82.94,73.11,84.31142857142858
3,bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.63,86.65,95.98,88.24,87.39,88.17,75.93,86.42714285714285
4,bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.43,86.15,95.75,87.68,87.84,87.45,74.04,85.9057142857143
5,bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,81.32,85.76,95.16,87.6,86.24,85.88,75.29,85.32142857142857
6,bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,82.32,86.34,95.77,87.53,87.84,87.82,74.85,86.06714285714288
7,bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,82.21,87.14,95.81,88.48,87.39,87.25,71.42,85.67142857142856
8,bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,81.23,86.29,95.58,88.16,86.24,86.92,73.99,85.48714285714286
9,bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,80.29,84.51,95.18,87.61,84.86,83.42,72.4,84.03857142857143
10,bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.49,86.64,95.95,88.18,87.5,88.87,75.34,86.42428571428572
11,bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.1,85.94,95.87,87.64,87.73,87.67,73.75,85.8142857142857
12,bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,80.87,85.55,95.43,87.67,86.01,86.5,74.71,85.24857142857142
13,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,82.06,86.04,95.9,87.46,87.96,88.04,74.97,86.06142857142856
14,bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,82.25,87.12,95.87,88.47,87.73,87.27,71.22,85.70428571428572
15,bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,81.32,86.3,95.56,88.16,86.24,86.78,74.41,85.53857142857143
16,bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,80.35,84.6,95.15,87.62,84.75,83.47,72.89,84.11857142857143
17,bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.49,86.67,95.96,88.22,87.73,88.41,75.69,86.45285714285716
18,bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.15,86.0,95.88,87.65,87.84,87.95,73.75,85.88857142857144
19,bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,80.92,85.56,95.4,87.65,86.12,86.44,74.85,85.27714285714285
20,bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,82.12,86.09,95.88,87.46,88.19,88.19,74.95,86.1257142857143
21,bert-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,82.1,87.02,95.65,88.38,87.04,88.34,70.02,85.50714285714285
22,bert-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,81.87,86.97,95.54,88.54,86.12,87.75,73.09,85.69714285714285
23,bert-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,81.1,86.0,95.16,87.38,85.21,86.12,70.9,84.55285714285715
24,bert-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.65,87.22,95.9,88.31,87.5,89.44,74.68,86.52857142857144
25,bert-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.45,87.13,95.9,87.75,87.5,89.05,73.75,86.21857142857142
26,bert-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,81.66,86.75,95.43,87.84,85.67,88.08,73.16,85.51285714285714
27,bert-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,82.34,87.13,95.86,87.65,87.73,89.05,74.44,86.31428571428572
28,bert-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,82.24,87.09,95.82,88.48,87.61,87.47,71.15,85.69428571428571
29,bert-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,81.37,86.42,95.58,88.16,86.01,87.07,74.12,85.53285714285713
30,bert-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls,80.39,84.84,95.17,87.61,84.98,84.01,72.28,84.18285714285716
31,bert-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.47,86.76,95.94,88.28,87.5,88.59,75.27,86.40142857142858
32,bert-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.11,86.12,95.9,87.63,87.73,88.11,73.6,85.88571428571429
33,bert-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,81.0,85.71,95.45,87.67,86.24,86.9,74.21,85.31142857142858
34,bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,82.15,86.24,95.91,87.52,88.19,88.48,75.29,86.2542857142857
35,bert-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,82.24,87.1,95.83,88.47,87.5,87.34,71.27,85.67857142857143
36,bert-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,81.4,86.44,95.57,88.17,86.01,87.0,74.68,85.61
37,bert-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,80.5,84.86,95.17,87.61,84.75,83.73,72.67,84.1842857142857
38,bert-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.45,86.74,95.99,88.29,87.61,88.63,75.46,86.45285714285716
39,bert-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,82.15,86.09,95.9,87.67,87.96,88.15,73.77,85.95571428571428
40,bert-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,81.03,85.7,95.42,87.72,85.78,86.72,74.73,85.3
41,bert-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,82.18,86.23,95.91,87.48,88.53,88.32,74.78,86.20428571428572
