,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,84.92,79.54,95.0,87.49,86.12,63.11,69.48,80.80857142857144
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,87.34,90.91,95.86,90.5,91.28,88.15,76.69,88.67571428571429
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,87.17,90.78,95.76,90.05,90.71,88.1,76.52,88.44142857142856
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,87.39,90.95,95.92,90.53,91.28,87.82,76.57,88.63714285714283
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,87.26,90.79,95.84,90.04,89.91,87.93,76.25,88.28857142857143
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,87.09,90.84,95.67,89.98,90.37,87.91,76.3,88.30857142857143
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls,87.11,90.84,95.68,90.02,90.25,87.97,76.64,88.35857142857142
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,84.78,88.18,94.74,87.5,88.88,63.65,71.39,82.73142857142857
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,87.41,90.9,96.06,90.8,91.17,87.33,73.87,88.22000000000001
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,87.22,90.69,96.06,90.25,90.83,87.38,74.46,88.12714285714287
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,87.38,90.97,96.15,90.81,91.63,86.85,73.97,88.25142857142858
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,87.24,90.71,96.13,90.26,90.6,87.16,73.9,87.99999999999999
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,87.2,90.47,96.01,90.19,91.28,87.38,73.94,88.06714285714285
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,87.2,90.47,96.05,90.17,91.51,87.23,74.14,88.11
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,84.73,88.13,94.85,87.56,87.73,64.23,71.32,82.65
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,87.38,90.98,96.05,90.77,91.17,87.53,74.09,88.28142857142858
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,87.25,90.77,96.01,90.24,90.71,87.51,74.14,88.09
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,87.35,91.05,96.11,90.8,91.51,86.94,74.75,88.35857142857142
