,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.95,73.01,89.91,78.14,82.68,59.08,71.07,76.69142857142856
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,88.0,91.61,96.28,91.36,91.86,89.54,76.52,89.30999999999999
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,87.96,91.47,96.28,91.03,91.63,89.47,76.59,89.20428571428572
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,88.02,91.6,96.3,91.35,91.86,89.32,76.62,89.2957142857143
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.98,91.46,96.28,91.04,91.63,89.34,76.32,89.14999999999999
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.96,91.5,96.29,90.98,91.63,89.49,76.77,89.23142857142857
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,87.95,91.49,96.3,90.97,91.63,89.34,76.94,89.2314285714286
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,80.48,74.38,91.67,82.14,84.86,60.58,68.38,77.49857142857142
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,87.39,91.51,96.26,91.12,91.74,89.51,77.38,89.27285714285715
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,87.32,91.4,96.26,90.95,91.74,89.54,77.11,89.18857142857144
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.39,91.51,96.29,91.12,91.63,89.36,77.18,89.21142857142857
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.32,91.4,96.26,90.97,91.51,89.51,76.77,89.10571428571428
12,deberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.32,91.45,96.28,90.89,91.74,89.34,77.06,89.1542857142857
13,deberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,87.3,91.43,96.29,90.91,91.51,89.45,77.06,89.13571428571429
14,deberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,81.34,74.07,91.45,81.7,84.06,59.37,68.5,77.21285714285715
15,deberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,87.55,91.53,96.27,91.16,91.74,89.36,77.11,89.24571428571429
16,deberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,87.46,91.41,96.25,91.0,91.86,89.69,77.16,89.26142857142858
17,deberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.54,91.51,96.29,91.14,91.63,89.36,77.06,89.21857142857142
18,deberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.45,91.41,96.27,90.99,91.74,89.49,77.04,89.19857142857143
19,deberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,87.49,91.44,96.28,90.92,91.51,89.54,77.11,89.18428571428572
