,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,85.33,79.11,94.85,87.23,87.16,62.62,69.38,80.81142857142856
1,deberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.38,90.91,95.69,90.44,90.25,88.9,76.4,88.56714285714285
2,deberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.28,90.76,95.63,90.15,89.56,88.88,76.57,88.4042857142857
3,deberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.4,90.91,95.77,90.51,90.6,88.59,76.23,88.57285714285715
4,deberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.38,90.73,95.72,90.13,89.79,88.87,76.35,88.42428571428573
5,deberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.1,90.83,95.37,90.05,90.25,88.94,76.64,88.4542857142857
6,deberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls,87.16,90.82,95.46,90.06,90.02,88.88,76.62,88.43142857142857
7,deberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,84.94,88.48,94.91,87.36,88.88,64.18,71.37,82.87428571428573
8,deberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.46,90.76,96.08,90.6,91.17,87.14,73.97,88.16857142857144
9,deberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls,87.39,90.5,96.04,90.13,90.71,87.25,73.45,87.92428571428572
10,deberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.5,90.89,96.16,90.64,91.4,86.79,73.5,88.12571428571427
11,deberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls,87.37,90.67,96.11,90.17,90.83,87.16,73.6,87.98714285714287
