,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,85.88,91.2,96.06,89.56,89.56,86.56,71.49,87.18714285714285
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,86.74,91.65,96.12,90.96,89.91,90.94,75.61,88.84714285714286
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,86.04,90.04,95.88,90.0,90.6,85.99,72.82,87.33857142857144
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,86.88,92.11,96.46,90.95,90.37,90.81,76.79,89.19571428571427
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,86.53,91.26,96.35,90.0,91.28,86.35,74.07,87.97714285714285
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,86.45,91.18,96.07,90.38,90.83,90.41,75.54,88.6942857142857
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-avg,86.69,91.54,96.35,90.38,91.06,90.08,75.86,88.85142857142857
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,85.92,91.23,96.05,89.53,89.22,86.3,71.25,87.07142857142857
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,86.62,91.55,96.12,90.96,90.25,91.12,75.12,88.82000000000001
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,85.79,89.88,95.89,90.05,89.91,86.15,72.62,87.1842857142857
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.79,91.94,96.47,90.97,90.71,90.87,76.54,89.1842857142857
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.4,91.12,96.33,90.02,91.28,86.7,74.19,88.00571428571428
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.25,90.95,96.06,90.45,90.83,90.52,75.12,88.59714285714286
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-avg,86.54,91.37,96.34,90.45,90.94,90.06,75.49,88.74142857142859
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,85.93,91.22,96.06,89.56,89.22,86.7,71.54,87.17571428571429
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,86.64,91.56,96.13,90.96,90.25,91.12,75.44,88.87142857142855
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,85.85,89.9,95.89,90.05,90.14,86.11,72.55,87.21285714285713
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-avg,86.82,91.97,96.49,90.99,90.37,90.88,76.62,89.16285714285713
