,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.83,90.89,95.98,89.32,89.91,88.26,70.68,87.26714285714284
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.93,91.8,96.17,91.23,90.37,91.25,76.52,89.18142857142857
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.32,90.34,95.96,90.7,90.71,87.75,73.85,87.94714285714285
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.13,92.28,96.52,91.25,90.6,91.4,76.37,89.36428571428571
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.8,91.72,96.38,90.7,91.28,88.48,73.7,88.43714285714286
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.74,91.58,96.14,91.14,90.37,91.01,76.4,89.05428571428571
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.07,92.05,96.4,91.14,90.94,91.14,76.32,89.2942857142857
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.88,91.26,96.03,89.15,90.02,86.81,70.93,87.1542857142857
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.8,91.86,96.15,91.21,90.14,91.2,76.96,89.18857142857144
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.16,90.43,95.91,90.71,90.6,86.68,74.48,87.85285714285715
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.07,92.38,96.52,91.21,90.83,91.2,76.57,89.39714285714285
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.75,91.74,96.37,90.71,91.17,87.12,74.34,88.31428571428572
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.65,91.58,96.1,91.13,90.71,90.52,76.42,89.01571428571428
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.0,92.11,96.42,91.12,91.06,90.66,76.32,89.24142857142859
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.84,91.23,96.02,89.15,89.79,87.29,70.73,87.15
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.87,91.86,96.14,91.21,90.25,91.58,77.03,89.27714285714285
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.17,90.42,95.93,90.7,90.6,86.65,74.29,87.82285714285713
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.08,92.39,96.53,91.22,90.6,91.56,76.4,89.39714285714287
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.75,91.75,96.39,90.7,91.17,87.34,74.34,88.34857142857143
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.68,91.57,96.12,91.15,90.71,90.92,76.47,89.08857142857143
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.0,92.13,96.4,91.13,91.4,90.9,76.49,89.35
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,84.05,90.31,94.61,78.31,87.16,58.75,70.39,80.51142857142858
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.63,91.57,96.1,90.98,89.68,90.2,75.59,88.67857142857143
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.9,90.67,95.8,90.34,89.56,86.24,73.43,87.42
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.99,92.08,96.47,90.97,91.06,90.13,76.25,89.13571428571429
25,allmpnet,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.65,91.91,96.34,90.34,90.94,86.06,73.6,87.97714285714287
26,allmpnet,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.5,91.42,96.04,90.78,89.79,89.76,75.32,88.51571428571431
27,allmpnet,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.83,91.93,96.38,90.79,91.06,89.69,75.88,88.93714285714286
28,allmpnet,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.82,91.18,95.96,89.03,89.45,85.97,70.51,86.84571428571428
29,allmpnet,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.91,91.86,96.14,91.19,89.79,91.1,76.59,89.08285714285715
30,allmpnet,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.17,90.47,95.95,90.69,90.25,86.48,74.14,87.73571428571428
31,allmpnet,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.16,92.41,96.54,91.2,90.71,91.07,76.57,89.37999999999998
32,allmpnet,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.82,91.84,96.36,90.7,91.4,86.96,74.21,88.32714285714287
33,allmpnet,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.7,91.66,96.11,91.09,90.37,90.57,76.1,88.94285714285715
34,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.05,92.16,96.41,91.08,91.4,90.54,76.25,89.27
35,allmpnet,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.81,91.14,95.97,89.08,89.45,86.94,70.46,86.97857142857141
36,allmpnet,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.92,91.86,96.17,91.19,90.02,91.32,76.67,89.16428571428571
37,allmpnet,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.17,90.46,95.94,90.68,90.14,86.52,74.02,87.7042857142857
38,allmpnet,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.15,92.41,96.52,91.21,90.71,91.36,76.45,89.40142857142857
39,allmpnet,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.82,91.84,96.37,90.71,91.28,87.07,74.16,88.32142857142856
40,allmpnet,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,86.7,91.63,96.13,91.1,90.37,90.68,76.15,88.96571428571427
41,allmpnet,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,87.07,92.17,96.42,91.1,91.06,90.65,76.13,89.22857142857143
