,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.83,91.29,95.97,89.44,89.11,88.61,69.87,87.16
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.81,91.84,96.2,90.97,90.6,90.46,76.67,89.07857142857144
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.19,90.5,95.98,90.7,91.06,87.89,73.97,88.04142857142858
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,87.0,92.41,96.54,90.9,90.25,90.85,76.64,89.22714285714287
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.7,91.9,96.36,90.74,90.83,89.69,73.7,88.56000000000002
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.65,91.64,96.16,91.02,91.17,90.22,76.27,89.01857142857143
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.95,92.2,96.44,90.99,91.06,90.81,76.54,89.28428571428572
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.76,91.36,95.84,89.48,89.79,88.32,74.43,87.85428571428572
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.62,91.5,96.06,91.22,90.71,91.29,77.18,89.22571428571428
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.14,90.23,95.82,90.76,91.51,87.58,75.51,88.22142857142856
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.74,92.04,96.34,91.2,90.6,91.54,76.67,89.3042857142857
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.51,91.58,96.28,90.81,91.4,89.43,75.44,88.77857142857144
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.51,91.24,95.99,91.17,90.83,91.03,77.06,89.11857142857141
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.72,91.78,96.35,91.19,90.94,91.2,77.01,89.31285714285715
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.79,91.42,95.89,89.47,89.45,88.26,73.89,87.73857142857143
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.66,91.6,96.07,91.22,90.71,91.32,77.08,89.23714285714286
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.17,90.32,95.86,90.75,91.63,87.62,75.29,88.23428571428572
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.8,92.14,96.36,91.19,90.37,91.58,76.62,89.29428571428572
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.53,91.72,96.3,90.83,91.4,89.86,75.22,88.83714285714287
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.53,91.3,96.04,91.17,90.83,90.99,77.13,89.14142857142858
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.75,91.85,96.36,91.19,90.83,91.32,76.76,89.2942857142857
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.62,91.46,95.79,89.44,89.79,88.32,72.37,87.54142857142858
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.74,91.89,96.26,91.15,90.94,91.01,76.86,89.26428571428572
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.2,90.88,96.0,90.64,90.71,87.42,74.78,88.08999999999999
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,87.08,92.31,96.51,91.17,90.71,91.45,76.79,89.43142857142857
25,allmpnet,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.73,92.15,96.38,90.69,91.4,89.8,74.51,88.80857142857143
26,allmpnet,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.66,91.72,96.17,91.08,90.71,90.72,76.57,89.08999999999999
27,allmpnet,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.98,92.27,96.44,91.09,91.17,91.4,76.35,89.38571428571429
28,allmpnet,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.73,91.48,95.89,89.46,89.79,88.17,73.75,87.75285714285714
29,allmpnet,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.67,91.62,96.09,91.21,90.71,91.1,77.26,89.23714285714286
30,allmpnet,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.17,90.37,95.86,90.76,91.51,87.58,75.27,88.21714285714286
31,allmpnet,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.84,92.21,96.35,91.21,90.6,91.56,76.59,89.33714285714287
32,allmpnet,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.55,91.82,96.31,90.82,91.51,89.51,75.32,88.8342857142857
33,allmpnet,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.56,91.34,96.05,91.16,90.71,90.92,77.13,89.12428571428572
34,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.78,91.96,96.37,91.17,90.94,91.23,76.62,89.2957142857143
35,allmpnet,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.77,91.51,95.91,89.45,89.79,88.24,73.7,87.76714285714286
36,allmpnet,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.68,91.63,96.11,91.2,90.6,91.27,77.11,89.22857142857143
37,allmpnet,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,86.18,90.42,95.89,90.78,91.4,87.6,75.07,88.19142857142856
38,allmpnet,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.87,92.26,96.39,91.21,90.6,91.6,76.57,89.35714285714286
39,allmpnet,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.58,91.86,96.32,90.82,91.51,89.84,75.34,88.89571428571428
40,allmpnet,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,86.57,91.38,96.06,91.17,90.83,90.9,77.11,89.14571428571428
41,allmpnet,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,86.81,91.98,96.4,91.19,91.06,91.34,76.59,89.33857142857144
