,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.9,91.22,96.06,89.58,89.56,86.7,71.02,87.14857142857143
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.74,91.63,96.11,90.96,90.02,90.98,76.03,88.9242857142857
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.07,90.09,95.87,90.01,90.48,85.75,72.84,87.30142857142857
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.89,92.18,96.45,90.94,90.6,90.63,77.31,89.28571428571429
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.54,91.36,96.32,89.99,91.28,86.32,73.7,87.92999999999999
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.44,91.22,96.04,90.36,90.94,90.3,75.61,88.70142857142856
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.63,91.61,96.32,90.37,90.94,89.97,76.18,88.86
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.95,91.22,96.05,89.58,88.99,86.57,71.34,87.10000000000001
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.61,91.53,96.12,90.95,90.25,91.1,75.02,88.79714285714284
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.77,89.87,95.87,90.02,89.91,86.11,72.69,87.17714285714285
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.78,91.92,96.47,90.97,90.71,90.92,76.79,89.22285714285714
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.39,91.07,96.34,90.01,91.28,86.59,74.24,87.98857142857142
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.23,90.89,96.06,90.4,90.6,90.54,75.0,88.53142857142858
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.49,91.34,96.34,90.44,90.94,90.46,75.56,88.79571428571428
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.95,91.22,96.06,89.53,89.33,86.54,71.54,87.16714285714285
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.63,91.55,96.11,90.94,90.25,91.12,75.1,88.81428571428572
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.83,89.88,95.86,90.03,90.14,86.15,72.89,87.25428571428571
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.76,91.91,96.47,90.97,90.48,91.03,76.69,89.18714285714285
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.42,91.11,96.34,89.99,91.28,86.39,74.02,87.93571428571428
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.27,90.94,96.05,90.4,90.83,90.46,74.73,88.52571428571427
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.51,91.4,96.34,90.42,91.17,90.08,75.81,88.81857142857143
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.62,90.22,95.38,89.51,88.07,79.2,69.01,85.14428571428572
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.1,91.28,96.0,90.44,89.68,89.95,73.85,88.1857142857143
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.55,90.18,95.6,89.51,89.33,85.56,71.15,86.69714285714285
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.0,91.19,96.32,90.45,91.17,89.97,75.42,88.64571428571428
25,allmpnet,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.69,90.76,96.16,89.52,90.83,85.88,72.57,87.34428571428569
26,allmpnet,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.78,90.83,95.8,89.62,90.25,89.47,72.79,87.79142857142857
27,allmpnet,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,85.58,90.96,96.14,89.61,91.28,89.14,74.19,88.12857142857145
28,allmpnet,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.88,91.17,96.01,89.57,89.45,86.21,70.83,87.01714285714286
29,allmpnet,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.72,91.63,96.15,90.95,90.02,91.03,75.29,88.82714285714285
30,allmpnet,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.9,89.97,95.94,90.03,89.79,86.17,72.23,87.14714285714287
31,allmpnet,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.85,91.86,96.51,90.96,90.48,90.98,76.54,89.16857142857143
32,allmpnet,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.44,91.07,96.31,90.05,91.63,86.13,74.07,87.95714285714287
33,allmpnet,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.36,90.97,96.06,90.46,90.71,90.02,74.46,88.4342857142857
34,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.62,91.31,96.33,90.47,91.63,90.21,75.54,88.87285714285714
35,allmpnet,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.88,91.18,96.01,89.59,89.11,86.19,70.71,86.95285714285716
36,allmpnet,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,86.73,91.64,96.14,90.94,90.02,90.88,75.22,88.79571428571428
37,allmpnet,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.91,90.0,95.94,90.0,89.91,86.24,72.25,87.17857142857143
38,allmpnet,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.86,91.93,96.5,90.93,90.48,90.85,76.5,89.15
39,allmpnet,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.46,91.1,96.31,90.03,91.51,86.24,74.19,87.97714285714285
40,allmpnet,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,86.38,91.01,96.05,90.47,90.6,90.24,75.29,88.57714285714285
41,allmpnet,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,86.6,91.3,96.34,90.48,91.28,89.98,75.69,88.81000000000002
