,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,allmpnet,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.94,91.2,96.05,89.54,89.45,86.63,71.39,87.17142857142856
1,allmpnet,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.76,91.64,96.14,90.99,90.02,90.98,76.08,88.94428571428571
2,allmpnet,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.06,90.12,95.88,90.02,90.48,86.1,73.35,87.42999999999999
3,allmpnet,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.96,92.16,96.47,90.96,90.48,90.87,76.89,89.25571428571429
4,allmpnet,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.6,91.34,96.35,90.03,91.51,86.7,74.07,88.08571428571427
5,allmpnet,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.51,91.23,96.07,90.37,90.48,90.41,75.59,88.6657142857143
6,allmpnet,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.77,91.6,96.36,90.38,91.06,90.0,75.78,88.85000000000001
7,allmpnet,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.96,91.24,96.06,89.5,89.22,86.92,71.59,87.21285714285715
8,allmpnet,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.63,91.56,96.15,90.99,90.37,91.27,75.32,88.89857142857143
9,allmpnet,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.83,89.92,95.89,90.1,90.02,86.33,72.67,87.25142857142858
10,allmpnet,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.82,91.98,96.47,90.99,90.37,91.09,76.91,89.23285714285714
11,allmpnet,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.46,91.19,96.34,90.1,91.28,86.98,74.19,88.07714285714285
12,allmpnet,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.32,90.94,96.07,90.51,90.37,90.52,74.97,88.52857142857144
13,allmpnet,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.58,91.47,96.36,90.52,91.28,90.3,75.49,88.85714285714286
14,allmpnet,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.99,91.21,96.08,89.53,89.33,87.01,71.86,87.28714285714285
15,allmpnet,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.66,91.58,96.14,90.98,90.14,91.21,75.74,88.92142857142858
16,allmpnet,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.86,89.93,95.88,90.09,90.25,86.28,72.77,87.2942857142857
17,allmpnet,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.84,92.0,96.47,90.98,90.37,91.23,76.62,89.21571428571428
18,allmpnet,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.45,91.2,96.35,90.09,91.28,86.81,74.02,88.02857142857144
19,allmpnet,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.35,91.0,96.07,90.5,90.48,90.46,75.32,88.59714285714287
20,allmpnet,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.61,91.44,96.37,90.49,90.94,90.26,75.44,88.79285714285713
21,allmpnet,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.28,90.53,95.79,89.69,88.76,86.1,68.67,86.40285714285713
22,allmpnet,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.22,91.37,96.06,90.5,89.68,90.28,74.04,88.30714285714285
23,allmpnet,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.78,90.36,95.67,89.62,89.33,85.88,71.71,86.90714285714286
24,allmpnet,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,86.2,91.38,96.38,90.55,90.25,90.11,75.2,88.58142857142857
25,allmpnet,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.99,91.06,96.25,89.67,90.48,86.19,71.66,87.32857142857144
