;model;pooling;type_pooling;agg;layer;epochs;out_vec_size;qtd_layers;nhid;params;best_layers;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;avg_tasks
0;bert-base;CLS_IN-TASK;simple;CLS;IN-TASK;4,00;768,00;12,00;0,00;nan;cnn_1d_default-avg;82,29;87,42;95,98;88,74;86,77;90,80;71,25;86,18
1;bert-base;AVG_IN-TASK;simple;AVG;IN-TASK;4,00;768,00;12,00;0,00;nan;cnn_1d_default-avg;81,41;86,54;95,58;88,51;86,16;92,00;73,62;86,26
2;bert-base;AVG-NS_IN-TASK;simple-ns;AVG-NS;IN-TASK;4,00;768,00;12,00;0,00;nan;cnn_1d_default-avg;80,23;83,71;94,78;87,87;85,39;88,40;71,88;84,61
3;bert-base;CLS+AVG_IN-TASK;two-tokens;CLS+AVG;IN-TASK;4,00;1536,00;12,00;0,00;nan;cnn_1d_default-avg;82,35;86,81;96,00;88,52;87,20;93,00;73,62;86,79
4;bert-base;CLS+AVG-NS_IN-TASK;two-tokens;CLS+AVG-NS;IN-TASK;4,00;1536,00;12,00;0,00;nan;cnn_1d_default-avg;82,11;85,40;95,72;87,84;87,81;92,00;70,49;85,91
5;bert-base;AVG+AVG-NS_IN-TASK;two-tokens;AVG+AVG-NS;IN-TASK;4,00;1536,00;12,00;0,00;nan;cnn_1d_default-avg;80,97;84,69;95,19;87,72;86,55;90,60;73,97;85,67
6;bert-base;CLS+AVG+AVG-NS_IN-TASK;three-tokens;CLS+AVG+AVG-NS;IN-TASK;4,00;2304,00;12,00;0,00;nan;cnn_1d_default-avg;82,24;85,93;95,74;87,76;87,48;92,40;72,75;86,33
7;bert-base;CLS_LOO-SENTEVAL;simple;CLS;LOO-SENTEVAL;4,00;768,00;12,00;0,00;nan;cnn_1d_default-avg;82,16;87,44;96,05;88,63;86,71;91,40;71,01;86,20
8;bert-base;AVG_LOO-SENTEVAL;simple;AVG;LOO-SENTEVAL;4,00;768,00;12,00;0,00;nan;cnn_1d_default-avg;80,84;86,46;95,67;88,54;86,44;93,00;74,20;86,45
9;bert-base;AVG-NS_LOO-SENTEVAL;simple-ns;AVG-NS;LOO-SENTEVAL;4,00;768,00;12,00;0,00;nan;cnn_1d_default-avg;79,77;83,71;94,94;87,87;85,01;89,60;71,13;84,58
10;bert-base;CLS+AVG_LOO-SENTEVAL;two-tokens;CLS+AVG;LOO-SENTEVAL;4,00;1536,00;12,00;0,00;nan;cnn_1d_default-avg;82,44;86,73;96,05;88,50;87,15;94,00;74,78;87,09
11;bert-base;CLS+AVG-NS_LOO-SENTEVAL;two-tokens;CLS+AVG-NS;LOO-SENTEVAL;4,00;1536,00;12,00;0,00;nan;cnn_1d_default-avg;82,08;85,54;95,79;87,96;87,64;92,80;72,29;86,30
12;bert-base;AVG+AVG-NS_LOO-SENTEVAL;two-tokens;AVG+AVG-NS;LOO-SENTEVAL;4,00;1536,00;12,00;0,00;nan;cnn_1d_default-avg;80,38;85,06;95,28;87,90;86,22;92,40;72,12;85,62
13;bert-base;CLS+AVG+AVG-NS_LOO-SENTEVAL;three-tokens;CLS+AVG+AVG-NS;LOO-SENTEVAL;4,00;2304,00;12,00;0,00;nan;cnn_1d_default-avg;81,97;86,04;95,94;87,65;87,81;93,60;73,10;86,59
14;bert-base;CLS_AVG-SENTEVAL;simple;CLS;AVG-SENTEVAL;4,00;768,00;12,00;0,00;nan;cnn_1d_default-avg;82,07;87,34;96,10;88,70;86,71;90,80;71,30;86,15
15;bert-base;AVG_AVG-SENTEVAL;simple;AVG;AVG-SENTEVAL;4,00;768,00;12,00;0,00;nan;cnn_1d_default-avg;80,88;86,54;95,67;88,60;86,49;92,80;73,97;86,42
16;bert-base;AVG-NS_AVG-SENTEVAL;simple-ns;AVG-NS;AVG-SENTEVAL;4,00;768,00;12,00;0,00;nan;cnn_1d_default-avg;79,77;83,52;94,90;87,83;85,34;90,20;72,00;84,79
