,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-large,CLS_IN-TASK,simple,CLS,IN-TASK,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,87.96,91.76,96.74,88.08,89.07,90.2,70.96,87.82428571428571
1,deberta-large,AVG_IN-TASK,simple,AVG,IN-TASK,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.43,92.69,96.99,90.9,93.79,97.2,76.93,91.13285714285715
2,deberta-large,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.68,92.69,96.97,90.43,94.18,97.0,76.64,91.08428571428571
3,deberta-large,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.5,92.87,97.04,90.95,94.07,96.8,76.52,91.10714285714286
4,deberta-large,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.75,92.87,97.02,90.56,93.96,97.0,76.99,91.16428571428571
5,deberta-large,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.38,92.61,96.88,90.47,93.96,96.6,75.83,90.81857142857143
6,deberta-large,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,3072,24,0,None,dynamic_layer_weighted_mean-avg,89.48,92.56,96.85,90.49,94.01,96.8,76.46,90.95
7,deberta-large,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,88.15,91.23,96.69,86.61,88.8,88.0,70.49,87.13857142857144
8,deberta-large,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.04,92.37,96.94,90.94,93.63,96.4,76.64,90.85142857142857
9,deberta-large,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.07,92.4,96.94,90.29,93.47,96.2,76.58,90.70714285714287
10,deberta-large,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.07,92.58,97.01,90.94,93.9,96.6,76.52,90.94571428571429
11,deberta-large,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.22,92.74,96.99,90.28,93.57,97.2,76.58,90.94000000000001
12,deberta-large,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,88.86,92.13,96.86,90.39,93.68,96.4,76.81,90.73285714285716
13,deberta-large,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,3072,24,0,None,dynamic_layer_weighted_mean-avg,89.05,92.29,96.91,90.28,93.52,96.6,77.04,90.81285714285714
14,deberta-large,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,88.04,91.36,96.6,86.77,89.62,89.0,69.74,87.30428571428571
15,deberta-large,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.21,92.48,96.97,91.14,93.47,96.2,76.29,90.82285714285715
16,deberta-large,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.24,92.53,96.93,90.38,93.74,96.6,76.23,90.80714285714285
17,deberta-large,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.15,92.64,97.01,91.1,94.12,96.4,76.06,90.92571428571429
18,deberta-large,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.34,92.69,97.0,90.43,93.74,97.0,76.29,90.92714285714285
19,deberta-large,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.01,92.29,96.86,90.36,93.68,96.2,75.65,90.57857142857144
20,deberta-large,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,3072,24,0,None,dynamic_layer_weighted_mean-avg,89.16,92.4,96.87,90.46,93.74,97.2,77.33,91.02285714285715
21,deberta-large,CLS_NLI,simple,CLS,NLI,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,88.16,91.31,96.7,82.11,89.62,91.8,69.86,87.08000000000001
22,deberta-large,AVG_NLI,simple,AVG,NLI,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.48,92.13,96.93,85.59,93.3,95.4,74.67,89.64285714285714
23,deberta-large,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.33,91.87,96.74,87.22,93.36,96.0,75.25,89.96714285714286
24,deberta-large,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.76,92.58,97.35,85.28,93.96,96.0,75.71,90.09142857142858
25,deberta-large,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.78,92.45,97.15,87.1,93.9,95.8,74.84,90.14571428571428
26,deberta-large,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.47,91.95,96.68,87.28,93.47,96.2,74.78,89.97571428571429
27,deberta-large,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,3072,24,0,None,dynamic_layer_weighted_mean-avg,89.49,92.32,97.16,87.1,94.18,95.8,74.14,90.02714285714286
28,deberta-large,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,88.3,91.37,96.82,85.92,89.57,89.2,70.67,87.40714285714286
29,deberta-large,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.32,92.48,96.95,90.87,93.41,96.4,76.75,90.88285714285713
