,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,deberta-large,CLS_IN-TASK,simple,CLS,IN-TASK,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,88.09,91.62,96.77,87.74,88.76,80.47,70.63,86.29714285714286
1,deberta-large,AVG_IN-TASK,simple,AVG,IN-TASK,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.59,92.47,96.91,90.8,92.43,91.25,76.72,90.02428571428572
2,deberta-large,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.49,92.4,96.92,90.12,92.32,91.03,76.37,89.80714285714285
3,deberta-large,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.63,92.64,96.98,90.85,92.43,91.18,76.77,90.06857142857143
4,deberta-large,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.57,92.46,97.0,90.21,91.74,91.05,76.45,89.78285714285714
5,deberta-large,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.3,92.29,96.84,90.0,92.78,91.01,77.04,89.89428571428572
6,deberta-large,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,3072,24,0,None,dynamic_layer_weighted_mean-avg,89.37,92.36,96.87,90.07,92.66,91.05,77.6,89.99714285714286
7,deberta-large,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,87.85,91.28,96.7,86.65,88.42,81.24,71.05,86.16999999999999
8,deberta-large,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,88.92,92.38,96.91,90.74,91.97,90.96,77.45,89.90428571428573
9,deberta-large,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,88.85,92.36,96.95,90.26,91.63,90.81,77.06,89.70285714285713
10,deberta-large,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.02,92.54,96.95,90.79,92.2,90.63,77.38,89.92999999999999
11,deberta-large,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,88.98,92.49,96.97,90.27,91.97,90.77,76.96,89.77285714285713
12,deberta-large,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,88.67,92.21,96.82,90.08,91.86,90.65,77.72,89.71571428571428
13,deberta-large,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,3072,24,0,None,dynamic_layer_weighted_mean-avg,88.74,92.32,96.86,90.12,92.09,90.77,78.11,89.85857142857142
14,deberta-large,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,87.92,91.36,96.68,86.9,88.65,81.02,70.9,86.2042857142857
15,deberta-large,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.06,92.41,96.9,90.85,92.43,90.99,77.33,89.99571428571429
16,deberta-large,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,88.99,92.35,96.93,90.3,91.74,90.85,77.01,89.73857142857142
17,deberta-large,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.14,92.56,96.96,90.9,92.32,91.03,77.52,90.06142857142856
18,deberta-large,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.16,92.49,96.98,90.31,91.97,90.7,76.81,89.77428571428572
19,deberta-large,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,88.85,92.2,96.82,90.14,92.43,90.87,77.89,89.88571428571427
20,deberta-large,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,3072,24,0,None,dynamic_layer_weighted_mean-avg,88.91,92.32,96.85,90.18,92.2,90.76,78.09,89.90142857142858
21,deberta-large,CLS_NLI,simple,CLS,NLI,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,88.23,91.15,96.78,82.11,89.33,83.99,71.42,86.1442857142857
22,deberta-large,AVG_NLI,simple,AVG,NLI,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.48,91.82,96.81,85.65,92.89,88.04,75.32,88.57285714285715
23,deberta-large,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,1024,24,0,None,dynamic_layer_weighted_mean-avg,89.38,91.71,96.8,87.26,92.89,88.19,75.12,88.76428571428572
24,deberta-large,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,2048,24,0,None,dynamic_layer_weighted_mean-avg,89.71,92.47,97.21,85.42,93.46,88.41,75.64,88.90285714285713
