model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
roberta-base,CLS_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(83.46), 'acc': np.float64(83.64), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.44), 'acc': np.float64(87.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.71), 'acc': np.float64(94.66), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.06), 'acc': np.float64(86.2), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.89), 'acc': 86.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(72.58), 'acc': 79.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.69), 'acc': 73.86, 'f1': 81.88, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(85.26), 'acc': np.float64(85.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.11), 'acc': np.float64(90.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.65), 'acc': np.float64(95.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.68), 'acc': np.float64(88.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.16), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.17), 'acc': 74.49, 'f1': 82.19, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_IN-TASK,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(85.01), 'acc': np.float64(84.9), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.88), 'acc': np.float64(90.33), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.56), 'acc': np.float64(95.56), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.04), 'acc': np.float64(88.35), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.33), 'acc': 91.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.95), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.24), 'acc': 74.14, 'f1': 81.9, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(85.27), 'acc': np.float64(85.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.12), 'acc': np.float64(90.33), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.62), 'acc': np.float64(95.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.57), 'acc': np.float64(88.62), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.65), 'acc': 90.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.19), 'acc': 90.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.29), 'acc': 73.1, 'f1': 81.31, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(85.13), 'acc': np.float64(84.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.84), 'acc': np.float64(90.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.53), 'acc': np.float64(95.49), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.18), 'acc': np.float64(88.45), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.85), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.97), 'acc': 74.61, 'f1': 82.17, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(85.13), 'acc': np.float64(85.15), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.71), 'acc': np.float64(90.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.51), 'acc': np.float64(95.54), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.29), 'acc': np.float64(88.33), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.67), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.34), 'acc': 74.96, 'f1': 82.45, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(85.1), 'acc': np.float64(84.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.78), 'acc': np.float64(89.7), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.51), 'acc': np.float64(95.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.37), 'acc': np.float64(88.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.33), 'acc': 90.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.38), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.93), 'acc': 73.51, 'f1': 81.64, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(83.17), 'acc': np.float64(83.22), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.48), 'acc': np.float64(87.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.35), 'acc': np.float64(94.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.0), 'acc': np.float64(85.86), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.47), 'acc': 87.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(72.76), 'acc': 80.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.01), 'acc': 73.51, 'f1': 81.94, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(85.06), 'acc': np.float64(84.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.18), 'acc': np.float64(90.41), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.66), 'acc': np.float64(95.66), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.64), 'acc': np.float64(88.74), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.31), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.12), 'acc': 73.74, 'f1': 81.38, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-avg,4,0,12,"{'devacc': np.float64(84.87), 'acc': np.float64(84.75), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.94), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.55), 'acc': np.float64(95.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.98), 'acc': np.float64(88.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.76), 'acc': 90.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.08), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.88), 'acc': 74.03, 'f1': 82.02, 'ndev': 4076, 'ntest': 1725}"
