,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,83.46,87.44,94.71,86.06,85.89,72.58,72.69,83.26142857142857
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,85.26,90.11,95.65,88.68,88.99,85.16,75.17,87.00285714285714
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-avg,85.01,89.88,95.56,88.04,89.33,85.95,75.24,87.00142857142858
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,85.27,90.12,95.62,88.57,88.65,84.19,75.29,86.8157142857143
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,85.13,89.84,95.53,88.18,88.99,84.85,74.97,86.78428571428572
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-avg,85.13,89.71,95.51,88.29,89.11,85.67,75.34,86.96571428571428
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-avg,85.1,89.78,95.51,88.37,89.33,85.38,74.93,86.91428571428573
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,83.17,87.48,94.35,86.0,86.47,72.76,72.01,83.17714285714285
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,85.06,90.18,95.66,88.64,89.11,85.31,75.12,87.01142857142858
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-avg,84.87,89.94,95.55,87.98,88.76,86.08,74.88,86.86571428571429
