model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
roberta-base,CLS_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(83.54), 'acc': np.float64(83.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.35), 'acc': np.float64(82.84), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.88), 'acc': np.float64(94.81), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.14), 'acc': np.float64(86.3), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.35), 'acc': 87.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(76.45), 'acc': 80.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.42), 'acc': 73.39, 'f1': 82.01, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(85.04), 'acc': np.float64(85.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.16), 'acc': np.float64(89.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.41), 'acc': np.float64(95.44), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.78), 'acc': np.float64(89.07), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.76), 'acc': 90.5, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.14), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.13), 'acc': 75.48, 'f1': 82.4, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_IN-TASK,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(84.86), 'acc': np.float64(84.91), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.06), 'acc': np.float64(90.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.32), 'acc': np.float64(95.37), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.24), 'acc': np.float64(88.33), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.65), 'acc': 90.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.62), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.25), 'acc': 75.88, 'f1': 83.08, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(85.14), 'acc': np.float64(85.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.09), 'acc': np.float64(89.75), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.5), 'acc': np.float64(95.29), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.65), 'acc': np.float64(88.8), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.3), 'acc': 90.01, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.02), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.86), 'acc': 74.55, 'f1': 82.07, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(84.93), 'acc': np.float64(84.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.94), 'acc': np.float64(90.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.35), 'acc': np.float64(95.31), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.3), 'acc': np.float64(88.37), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.3), 'acc': 90.39, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.16), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.56), 'acc': 75.01, 'f1': 82.21, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_IN-TASK,1536,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(84.9), 'acc': np.float64(84.78), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.08), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.33), 'acc': np.float64(95.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.4), 'acc': np.float64(88.5), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.65), 'acc': 90.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.62), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.81), 'acc': 76.41, 'f1': 83.44, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(84.89), 'acc': np.float64(84.8), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.01), 'acc': np.float64(90.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.42), 'acc': np.float64(95.29), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.37), 'acc': np.float64(88.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.76), 'acc': 90.28, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.16), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.13), 'acc': 74.9, 'f1': 82.32, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(83.59), 'acc': np.float64(83.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.85), 'acc': np.float64(88.03), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.95), 'acc': np.float64(94.93), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.53), 'acc': np.float64(86.65), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.35), 'acc': 87.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(76.65), 'acc': 87.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.67), 'acc': 73.33, 'f1': 81.8, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(84.99), 'acc': np.float64(84.88), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.08), 'acc': np.float64(89.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.71), 'acc': np.float64(95.7), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.59), 'acc': np.float64(88.8), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.53), 'acc': 90.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.38), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.41), 'acc': 74.26, 'f1': 82.1, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_LOO-SENTEVAL,768,cnn_1d_default-cls,4,0,12,"{'devacc': np.float64(84.82), 'acc': np.float64(84.94), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.82), 'acc': np.float64(90.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.64), 'acc': np.float64(95.52), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.96), 'acc': np.float64(88.27), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.53), 'acc': 90.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.02), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.34), 'acc': 74.43, 'f1': 82.08, 'ndev': 4076, 'ntest': 1725}"
