,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,83.46,82.84,94.81,86.3,87.48,80.8,73.39,84.15428571428572
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,85.1,89.99,95.44,89.07,90.5,92.0,75.48,88.22571428571428
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,cnn_1d_default-cls,84.91,90.07,95.37,88.33,90.72,92.6,75.88,88.26857142857143
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,85.12,89.75,95.29,88.8,90.01,92.0,74.55,87.93142857142857
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,84.84,90.2,95.31,88.37,90.39,92.2,75.01,88.0457142857143
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,cnn_1d_default-cls,84.78,90.25,95.26,88.5,90.44,92.0,76.41,88.23428571428572
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,cnn_1d_default-cls,84.8,90.07,95.29,88.58,90.28,90.2,74.9,87.73142857142857
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,83.46,88.03,94.93,86.65,87.1,87.8,73.33,85.9
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,84.88,89.99,95.7,88.8,90.66,91.4,74.26,87.95571428571428
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,84.94,90.04,95.52,88.27,90.44,93.0,74.43,88.09142857142858
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,84.97,90.28,95.61,88.42,90.77,92.4,71.83,87.75428571428573
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,84.75,89.94,95.5,88.34,90.23,92.2,73.22,87.74000000000001
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,84.85,89.94,95.52,88.51,91.16,92.6,73.97,88.07857142857144
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,84.59,90.28,95.37,88.46,90.66,92.2,73.45,87.85857142857144
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,83.57,88.08,94.94,86.48,86.93,82.4,71.3,84.8142857142857
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,84.76,90.25,95.67,88.69,90.72,92.4,73.74,88.03285714285714
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,cnn_1d_default-cls,84.82,89.93,95.56,88.24,90.72,92.4,73.16,87.83285714285714
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,85.14,90.07,95.46,88.41,90.66,89.8,72.41,87.42142857142855
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,84.89,90.28,95.51,88.49,90.61,92.2,71.83,87.68714285714286
19,roberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,cnn_1d_default-cls,84.9,90.33,95.39,88.46,90.94,91.0,74.32,87.90571428571427
20,roberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,cnn_1d_default-cls,84.89,89.91,95.33,88.38,90.83,91.2,73.39,87.7042857142857
21,roberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,cnn_1d_default-cls,83.58,88.0,95.18,86.2,86.55,85.6,70.9,85.14428571428572
22,roberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,cnn_1d_default-cls,84.81,90.44,95.72,87.94,90.12,92.4,73.45,87.84000000000002
23,roberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,cnn_1d_default-cls,84.77,90.28,95.48,87.71,89.79,92.8,74.14,87.85285714285715
24,roberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,cnn_1d_default-cls,84.88,90.54,95.61,87.91,90.17,92.4,72.81,87.76000000000002
25,roberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls,84.85,90.33,95.48,87.73,89.95,92.0,71.59,87.41857142857144
26,roberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,cnn_1d_default-cls,84.75,90.09,95.53,87.74,89.84,92.6,74.38,87.84714285714287
27,roberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,cnn_1d_default-cls,84.96,90.07,95.5,88.11,90.39,92.0,72.64,87.66714285714285
28,roberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls,83.42,88.05,94.99,86.32,87.1,83.4,69.74,84.71714285714286
29,roberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls,84.95,89.8,95.71,88.62,91.1,91.6,72.64,87.77428571428571
30,roberta-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,cnn_1d_default-cls,84.74,90.22,95.44,88.25,90.66,92.4,73.97,87.9542857142857
31,roberta-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls,85.0,90.12,95.7,88.63,90.83,90.4,73.8,87.78285714285713
32,roberta-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls,84.8,89.85,95.6,88.26,90.5,91.2,73.33,87.64857142857144
33,roberta-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,cnn_1d_default-cls,84.88,89.88,95.63,88.6,90.77,91.8,74.2,87.96571428571428
34,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,cnn_1d_default-cls,84.96,90.01,95.44,88.33,90.83,91.0,71.36,87.41857142857143
35,roberta-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls,83.62,87.89,95.0,86.47,86.88,84.6,73.97,85.49000000000001
36,roberta-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls,85.3,90.36,95.5,88.81,90.61,90.8,73.68,87.86571428571428
37,roberta-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,cnn_1d_default-cls,84.74,90.38,95.55,88.18,90.55,92.2,73.51,87.87285714285714
