model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
roberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(82.8), 'acc': np.float64(82.78), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.36), 'acc': np.float64(84.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.47), 'acc': np.float64(93.71), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(83.54), 'acc': np.float64(84.03), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 88.36, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.11), 'acc': 79.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.28), 'acc': 72.52, 'f1': 81.07, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(85.55), 'acc': np.float64(85.64), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.45), 'acc': np.float64(90.41), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.87), 'acc': np.float64(95.66), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.8), 'acc': np.float64(88.96), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.56), 'acc': 90.94, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.45), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.67), 'acc': 75.13, 'f1': 82.38, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(85.38), 'acc': np.float64(85.5), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.3), 'acc': np.float64(90.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.8), 'acc': np.float64(95.83), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.4), 'acc': np.float64(88.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.56), 'acc': 90.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.45), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.05), 'acc': 74.61, 'f1': 82.15, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(85.53), 'acc': np.float64(85.32), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.45), 'acc': np.float64(90.63), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.85), 'acc': np.float64(95.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.68), 'acc': np.float64(88.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.88), 'acc': 90.39, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.3), 'acc': 90.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.45), 'acc': 74.49, 'f1': 82.01, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(85.34), 'acc': np.float64(85.27), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.24), 'acc': np.float64(90.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.77), 'acc': np.float64(95.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.45), 'acc': np.float64(88.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.22), 'acc': 90.94, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.18), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.64), 'acc': 75.88, 'f1': 83.05, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(85.44), 'acc': np.float64(85.37), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.35), 'acc': np.float64(90.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.84), 'acc': np.float64(95.77), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.57), 'acc': np.float64(88.99), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.79), 'acc': 90.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.71), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.54), 'acc': 75.94, 'f1': 83.15, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(85.42), 'acc': np.float64(85.45), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.3), 'acc': np.float64(90.52), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.81), 'acc': np.float64(95.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.54), 'acc': np.float64(88.69), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.56), 'acc': 90.94, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.18), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.93), 'acc': 74.9, 'f1': 82.38, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(82.7), 'acc': np.float64(82.79), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.45), 'acc': np.float64(84.93), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.32), 'acc': np.float64(93.46), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.22), 'acc': np.float64(84.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 87.53, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.59), 'acc': 78.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.64), 'acc': 71.42, 'f1': 80.51, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(85.43), 'acc': np.float64(85.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.53), 'acc': np.float64(90.57), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.8), 'acc': np.float64(95.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.73), 'acc': np.float64(88.91), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.88), 'acc': 90.5, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.23), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.42), 'acc': 75.3, 'f1': 82.73, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,12,"{'devacc': np.float64(85.27), 'acc': np.float64(85.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.35), 'acc': np.float64(90.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.73), 'acc': np.float64(95.63), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.32), 'acc': np.float64(88.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.13), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.96), 'acc': 75.07, 'f1': 82.46, 'ndev': 4076, 'ntest': 1725}"
