,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.78,84.58,93.71,84.03,88.36,79.8,72.52,83.68285714285715
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.64,90.41,95.66,88.96,90.94,92.2,75.13,88.42
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.5,90.28,95.83,88.54,90.83,91.8,74.61,88.19857142857143
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.32,90.63,95.74,88.56,90.39,90.8,74.49,87.99
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.27,90.36,95.78,88.63,90.94,92.8,75.88,88.52285714285713
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.37,90.6,95.77,88.99,90.88,91.8,75.94,88.47857142857141
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.45,90.52,95.75,88.69,90.94,92.2,74.9,88.35000000000001
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.79,84.93,93.46,84.52,87.53,78.4,71.42,83.29285714285713
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.39,90.57,95.67,88.91,90.5,92.2,75.3,88.36285714285714
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.19,90.23,95.63,88.52,91.16,92.4,75.07,88.31428571428572
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.35,90.47,95.72,88.52,90.55,91.2,75.07,88.12571428571427
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.15,90.38,95.59,88.34,90.66,92.8,75.01,88.27571428571427
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.41,90.49,95.74,88.52,90.99,91.6,76.06,88.40142857142857
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.22,90.44,95.79,88.58,90.83,91.6,75.54,88.28571428571426
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.6,84.77,93.26,84.26,88.08,79.4,71.71,83.44000000000001
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.4,90.54,95.74,88.82,90.94,91.4,75.48,88.33142857142857
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.33,90.25,95.67,88.45,90.83,92.6,75.71,88.4057142857143
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.28,90.31,95.74,88.57,90.77,91.0,75.77,88.20571428571428
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.25,90.28,95.73,88.43,90.66,92.8,74.67,88.25999999999999
19,roberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.45,90.25,95.67,88.6,90.83,92.2,76.12,88.44571428571429
20,roberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.32,90.78,95.69,88.59,90.66,91.6,75.19,88.26142857142857
21,roberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.07,85.3,92.44,82.22,86.44,75.8,71.13,82.2
22,roberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.76,90.7,95.77,88.52,90.99,92.2,76.35,88.61285714285715
23,roberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.7,90.54,95.78,87.95,90.99,93.4,74.78,88.44857142857143
24,roberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.78,90.57,95.72,88.32,90.77,92.4,75.65,88.45857142857142
25,roberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.71,90.54,95.73,88.33,90.66,92.8,75.65,88.48857142857142
26,roberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.53,90.49,95.83,88.37,90.77,92.8,75.42,88.45857142857142
27,roberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.64,90.86,95.75,88.47,91.05,92.6,76.35,88.67428571428572
28,roberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.63,84.98,93.47,84.26,87.26,83.0,71.71,83.90142857142858
29,roberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.37,90.52,95.61,88.86,90.55,91.4,75.77,88.29714285714286
30,roberta-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.36,90.28,95.8,88.44,90.99,92.8,75.42,88.44142857142856
31,roberta-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.14,90.6,95.68,88.51,90.61,90.8,75.59,88.13285714285715
32,roberta-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.28,90.52,95.72,88.34,90.94,93.0,75.01,88.40142857142857
33,roberta-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.6,90.46,95.73,88.67,91.1,92.4,75.77,88.53285714285714
34,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.38,90.49,95.67,88.56,90.83,93.2,75.19,88.4742857142857
35,roberta-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.64,84.88,93.23,84.15,87.81,79.2,71.25,83.30857142857143
36,roberta-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.51,90.41,95.69,88.83,90.77,91.8,76.12,88.44714285714285
37,roberta-base,AVG-NS_AVG-ALL,simple-ns,AVG-NS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.44,90.36,95.8,88.5,91.16,92.4,76.12,88.53999999999999
38,roberta-base,CLS+AVG_AVG-ALL,two-tokens,CLS+AVG,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.51,90.57,95.67,88.68,90.5,91.2,75.07,88.17142857142858
39,roberta-base,CLS+AVG-NS_AVG-ALL,two-tokens,CLS+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.15,90.25,95.66,88.43,90.33,91.8,75.36,88.14
40,roberta-base,AVG+AVG-NS_AVG-ALL,two-tokens,AVG+AVG-NS,AVG-ALL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.51,90.62,95.8,88.65,91.05,91.8,76.29,88.53142857142858
41,roberta-base,CLS+AVG+AVG-NS_AVG-ALL,three-tokens,CLS+AVG+AVG-NS,AVG-ALL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.54,90.28,95.72,88.6,90.5,91.8,75.13,88.2242857142857
