,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.8,84.36,93.47,83.54,86.7,71.11,72.28,82.03714285714285
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.55,90.45,95.87,88.8,89.56,85.45,76.67,87.47857142857143
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.38,90.3,95.8,88.4,89.56,86.45,76.05,87.41999999999999
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.53,90.45,95.85,88.68,88.88,84.3,76.45,87.16285714285716
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.34,90.24,95.77,88.45,89.22,85.18,75.64,87.12
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.44,90.35,95.84,88.57,89.79,85.71,76.54,87.46285714285715
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.42,90.3,95.81,88.54,89.56,85.18,75.93,87.24857142857142
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.7,84.45,93.32,84.22,86.7,71.59,71.64,82.08857142857143
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.43,90.53,95.8,88.73,88.88,85.23,76.42,87.28857142857143
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.27,90.35,95.73,88.32,89.11,86.13,75.96,87.26714285714287
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.47,90.5,95.76,88.57,88.65,84.08,76.03,87.00857142857144
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.26,90.36,95.71,88.32,88.76,85.25,75.49,87.02142857142857
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.36,90.38,95.77,88.46,89.11,85.91,75.96,87.27857142857144
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.35,90.35,95.75,88.39,88.88,85.84,75.73,87.1842857142857
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.72,84.46,93.33,84.08,87.04,71.46,71.52,82.08714285714287
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.47,90.45,95.81,88.7,89.11,85.45,76.45,87.34857142857143
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.3,90.31,95.74,88.32,89.45,86.26,76.0,87.34
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.43,90.44,95.81,88.57,88.76,84.43,75.86,87.04285714285716
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.27,90.35,95.72,88.36,88.76,85.05,75.47,86.99714285714286
19,roberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.36,90.38,95.8,88.46,89.33,86.04,75.98,87.33571428571429
20,roberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.41,90.33,95.75,88.45,89.11,85.51,75.56,87.16000000000001
21,roberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.24,85.04,92.73,82.22,85.21,66.78,72.42,80.94857142857143
22,roberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.78,90.72,95.85,88.41,89.68,86.32,76.42,87.59714285714286
23,roberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.57,90.5,95.78,87.93,89.33,86.78,76.1,87.42714285714285
24,roberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.78,90.68,95.86,88.36,89.33,84.96,76.2,87.31000000000002
25,roberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.56,90.52,95.75,88.05,89.11,85.67,75.61,87.18142857142857
26,roberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.59,90.46,95.81,88.07,90.14,86.67,76.08,87.5457142857143
27,roberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.58,90.46,95.79,88.14,89.22,85.71,75.66,87.22285714285714
28,roberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.56,84.55,93.13,83.87,86.12,70.65,71.44,81.75999999999999
29,roberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.53,90.53,95.81,88.65,88.88,85.71,76.35,87.35142857142857
30,roberta-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.35,90.39,95.73,88.23,89.33,86.43,75.96,87.3457142857143
31,roberta-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.51,90.55,95.8,88.54,88.53,84.34,76.05,87.0457142857143
32,roberta-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.4,90.36,95.72,88.29,88.99,85.25,75.54,87.07857142857142
33,roberta-base,AVG+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,AVG+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-avg,85.42,90.42,95.77,88.43,89.56,86.13,76.47,87.45714285714287
34,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL-NLI,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL-NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-avg,85.39,90.37,95.77,88.38,89.11,85.29,75.49,87.11428571428571
35,roberta-base,CLS_AVG-ALL,simple,CLS,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,82.56,84.48,93.23,83.82,86.93,70.74,71.44,81.88571428571429
36,roberta-base,AVG_AVG-ALL,simple,AVG,AVG-ALL,4,768,12,0,None,dynamic_layer_weighted_mean-avg,85.5,90.53,95.81,88.69,88.99,85.6,76.05,87.30999999999999
