model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
roberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(83.07), 'acc': np.float64(83.17), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.31), 'acc': np.float64(84.03), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.91), 'acc': np.float64(94.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.08), 'acc': np.float64(84.41), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.09), 'acc': 87.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.53), 'acc': 80.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.25), 'acc': 72.58, 'f1': 81.66, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(85.25), 'acc': np.float64(85.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.13), 'acc': np.float64(90.1), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.67), 'acc': np.float64(95.63), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.85), 'acc': np.float64(88.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.27), 'acc': 88.85, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.53), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.45), 'acc': 74.96, 'f1': 82.34, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(85.1), 'acc': np.float64(85.06), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.99), 'acc': np.float64(90.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.63), 'acc': np.float64(95.63), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.47), 'acc': np.float64(88.62), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.61), 'acc': 89.13, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.84), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.76), 'acc': 75.25, 'f1': 82.64, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(85.22), 'acc': np.float64(85.01), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.06), 'acc': np.float64(90.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.74), 'acc': np.float64(95.7), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.66), 'acc': np.float64(88.68), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.19), 'acc': 89.18, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.17), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.18), 'acc': 75.48, 'f1': 82.67, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(85.05), 'acc': np.float64(84.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.89), 'acc': np.float64(89.88), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.66), 'acc': np.float64(95.73), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.43), 'acc': np.float64(88.61), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.73), 'acc': 89.02, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.0), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.78), 'acc': 75.71, 'f1': 82.9, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(85.18), 'acc': np.float64(85.04), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.06), 'acc': np.float64(90.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.73), 'acc': np.float64(95.65), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.69), 'acc': np.float64(88.88), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.96), 'acc': 89.4, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.75), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.45), 'acc': 76.17, 'f1': 83.29, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(85.18), 'acc': np.float64(85.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.97), 'acc': np.float64(90.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.72), 'acc': np.float64(95.71), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.55), 'acc': np.float64(88.76), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.84), 'acc': 89.24, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.23), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.71), 'acc': 74.96, 'f1': 82.45, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(82.89), 'acc': np.float64(82.94), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.55), 'acc': np.float64(86.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.48), 'acc': np.float64(94.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.63), 'acc': np.float64(85.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.01), 'acc': 86.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(79.95), 'acc': 82.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.62), 'acc': 73.04, 'f1': 81.5, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(85.13), 'acc': np.float64(84.91), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.02), 'acc': np.float64(90.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.73), 'acc': np.float64(95.72), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.72), 'acc': np.float64(88.68), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.42), 'acc': 90.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.11), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.25), 'acc': 74.84, 'f1': 82.07, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,12,"{'devacc': np.float64(84.98), 'acc': np.float64(84.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.93), 'acc': np.float64(89.96), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.63), 'acc': np.float64(95.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.35), 'acc': np.float64(88.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.65), 'acc': 90.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.62), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.91), 'acc': 75.25, 'f1': 82.49, 'ndev': 4076, 'ntest': 1725}"
