,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,83.17,84.03,94.94,84.41,87.15,80.0,72.58,83.75428571428571
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.1,90.1,95.63,88.92,88.85,91.6,74.96,87.88000000000001
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.06,90.09,95.63,88.62,89.13,92.0,75.25,87.96857142857142
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,85.01,90.02,95.7,88.68,89.18,91.0,75.48,87.86714285714287
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,84.93,89.88,95.73,88.61,89.02,91.4,75.71,87.89714285714287
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,85.04,90.2,95.65,88.88,89.4,92.0,76.17,88.19142857142856
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,85.14,90.07,95.71,88.76,89.24,91.8,74.96,87.9542857142857
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,82.94,86.76,94.39,85.9,86.88,82.6,73.04,84.64428571428572
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,84.91,90.04,95.72,88.68,90.72,91.2,74.84,88.01571428571428
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,84.76,89.96,95.67,88.46,90.55,92.4,75.25,88.14999999999999
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,84.8,89.51,95.66,88.41,90.39,91.8,75.48,88.00714285714285
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,84.88,89.88,95.54,88.45,90.94,92.2,75.54,88.2042857142857
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,85.0,90.23,95.76,88.67,91.16,91.8,75.59,88.3157142857143
