,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,83.07,83.31,94.91,84.08,85.09,73.53,72.25,82.31999999999998
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.25,90.13,95.67,88.85,87.27,85.53,76.45,87.02142857142857
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.1,89.99,95.63,88.47,87.61,85.84,75.76,86.91428571428571
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,85.22,90.06,95.74,88.66,88.19,84.17,76.18,86.88857142857144
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,85.05,89.89,95.66,88.43,87.73,85.0,75.78,86.79142857142857
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,85.18,90.06,95.73,88.69,87.96,85.75,76.45,87.11714285714287
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,85.18,89.97,95.72,88.55,87.84,85.23,75.71,86.88571428571429
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,82.89,86.55,94.48,85.63,86.01,79.95,72.62,84.01857142857143
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.13,90.02,95.73,88.72,88.42,85.11,76.25,87.05428571428571
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,84.98,89.93,95.63,88.35,88.65,85.62,75.91,87.00999999999999
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,85.01,89.99,95.7,88.66,87.96,83.53,75.83,86.66857142857144
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,84.91,89.78,95.62,88.35,88.42,84.46,75.49,86.71857142857142
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,85.03,89.99,95.72,88.53,88.65,85.42,75.98,87.04571428571428
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,85.08,89.93,95.68,88.45,87.96,84.7,75.64,86.77714285714285
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,82.91,86.19,94.52,85.54,85.89,79.11,72.82,83.85428571428572
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,85.15,90.06,95.7,88.7,88.53,85.2,75.83,87.02428571428572
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls,84.98,89.93,95.64,88.4,88.42,85.67,76.0,87.00571428571429
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,85.06,89.94,95.74,88.66,87.84,83.86,76.2,86.75714285714287
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,84.94,89.79,95.64,88.41,87.96,84.7,75.93,86.76714285714284
19,roberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,85.1,89.96,95.7,88.56,88.19,85.53,76.15,87.02714285714285
20,roberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,85.02,89.88,95.7,88.47,88.3,84.65,75.71,86.81857142857143
21,roberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,83.12,88.61,95.08,85.72,84.86,81.18,72.79,84.47999999999999
22,roberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,84.66,89.52,95.73,87.17,87.16,84.74,74.68,86.23714285714287
23,roberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,84.5,89.3,95.7,87.05,87.39,85.07,74.65,86.23714285714286
24,roberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,84.75,89.54,95.86,87.05,88.42,83.57,75.0,86.31285714285715
25,roberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,84.6,89.27,95.83,87.12,87.84,84.08,75.0,86.24857142857142
26,roberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_mean-cls,84.59,89.31,95.75,87.24,88.07,84.81,74.78,86.36428571428571
27,roberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_mean-cls,84.68,89.47,95.84,87.24,88.07,84.28,74.51,86.29857142857144
28,roberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_mean-cls,82.93,87.2,94.57,85.74,86.7,80.54,72.89,84.36714285714285
