model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
roberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(82.73), 'acc': np.float64(82.71), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.12), 'acc': np.float64(84.27), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.54), 'acc': np.float64(93.71), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(83.65), 'acc': np.float64(84.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.93), 'acc': 88.25, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.22), 'acc': 80.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.13), 'acc': 72.52, 'f1': 81.71, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.52), 'acc': np.float64(85.6), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.39), 'acc': np.float64(90.49), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.86), 'acc': np.float64(95.73), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.78), 'acc': np.float64(88.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.22), 'acc': 90.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.55), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.52), 'acc': 75.59, 'f1': 82.68, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.33), 'acc': np.float64(85.26), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.29), 'acc': np.float64(90.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.79), 'acc': np.float64(95.77), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.45), 'acc': np.float64(88.6), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.68), 'acc': 90.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.3), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.15), 'acc': 75.25, 'f1': 82.55, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.51), 'acc': np.float64(85.38), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.37), 'acc': np.float64(90.57), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.85), 'acc': np.float64(95.7), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.66), 'acc': np.float64(88.62), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.65), 'acc': 90.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.48), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.54), 'acc': 75.94, 'f1': 83.03, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.32), 'acc': np.float64(85.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.22), 'acc': np.float64(90.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.79), 'acc': np.float64(95.73), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.4), 'acc': np.float64(88.53), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.23), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.61), 'acc': 75.65, 'f1': 82.93, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.42), 'acc': np.float64(85.49), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.29), 'acc': np.float64(90.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.82), 'acc': np.float64(95.73), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.52), 'acc': np.float64(88.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.45), 'acc': 90.94, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.15), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.52), 'acc': 75.88, 'f1': 82.95, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.39), 'acc': np.float64(85.4), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.28), 'acc': np.float64(90.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.8), 'acc': np.float64(95.8), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.53), 'acc': np.float64(88.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.33), 'acc': 91.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.34), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.81), 'acc': 74.72, 'f1': 82.0, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(82.65), 'acc': np.float64(82.98), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.44), 'acc': np.float64(84.77), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.33), 'acc': np.float64(93.35), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.15), 'acc': np.float64(84.29), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.35), 'acc': 87.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.0), 'acc': 79.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.74), 'acc': 71.42, 'f1': 80.51, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.48), 'acc': np.float64(85.53), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.45), 'acc': np.float64(90.41), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.79), 'acc': np.float64(95.67), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.76), 'acc': np.float64(88.85), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.76), 'acc': 90.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.45), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.47), 'acc': 75.01, 'f1': 82.4, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.27), 'acc': np.float64(85.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.27), 'acc': np.float64(90.2), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.72), 'acc': np.float64(95.65), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.31), 'acc': np.float64(88.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 91.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.24), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.96), 'acc': 76.06, 'f1': 83.37, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_LOO-SENTEVAL,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.37), 'acc': np.float64(85.4), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.45), 'acc': np.float64(90.52), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.76), 'acc': np.float64(95.68), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.61), 'acc': np.float64(88.66), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.53), 'acc': 90.77, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.3), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.91), 'acc': 75.88, 'f1': 82.92, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.24), 'acc': np.float64(85.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.28), 'acc': np.float64(90.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.7), 'acc': np.float64(95.62), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.32), 'acc': np.float64(88.34), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.76), 'acc': 90.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.12), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.39), 'acc': 75.48, 'f1': 82.74, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.33), 'acc': np.float64(85.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.33), 'acc': np.float64(90.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.73), 'acc': np.float64(95.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.5), 'acc': np.float64(88.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(86.04), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.42), 'acc': 75.71, 'f1': 82.72, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,2304,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.31), 'acc': np.float64(85.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.37), 'acc': np.float64(90.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.75), 'acc': np.float64(95.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.46), 'acc': np.float64(88.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.34), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.64), 'acc': 75.77, 'f1': 83.04, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_AVG-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(82.68), 'acc': np.float64(82.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.37), 'acc': np.float64(84.69), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.39), 'acc': np.float64(93.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.09), 'acc': np.float64(84.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.93), 'acc': 88.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.17), 'acc': 78.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.79), 'acc': 71.83, 'f1': 81.21, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_AVG-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,12,"{'devacc': np.float64(85.42), 'acc': np.float64(85.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.41), 'acc': np.float64(90.41), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.8), 'acc': np.float64(95.6), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.75), 'acc': np.float64(88.85), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.73), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.62), 'acc': 75.3, 'f1': 82.63, 'ndev': 4076, 'ntest': 1725}"
