,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.73,84.12,93.54,83.65,86.93,71.22,72.13,82.0457142857143
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.52,90.39,95.86,88.78,89.22,85.55,76.52,87.40571428571427
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.33,90.29,95.79,88.45,89.68,86.3,76.15,87.42714285714285
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.51,90.37,95.85,88.66,88.65,84.48,76.54,87.15142857142857
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.32,90.22,95.79,88.4,89.11,85.23,75.61,87.09714285714287
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.42,90.29,95.82,88.52,89.45,86.15,76.52,87.45285714285714
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.39,90.28,95.8,88.53,89.33,85.34,75.81,87.21142857142857
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.65,84.44,93.33,84.15,86.35,71.0,71.74,81.95142857142858
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.48,90.45,95.79,88.76,88.76,85.45,76.47,87.30857142857144
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.27,90.27,95.72,88.31,89.11,86.24,75.96,87.26857142857143
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.37,90.45,95.76,88.61,88.53,84.3,75.91,86.99
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.24,90.28,95.7,88.32,88.76,85.12,75.39,86.97285714285714
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.33,90.33,95.73,88.5,89.11,86.04,76.42,87.35142857142856
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.31,90.37,95.75,88.46,88.99,85.34,75.64,87.12285714285714
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,82.68,84.37,93.39,84.09,86.93,71.17,71.79,82.05999999999999
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.42,90.41,95.8,88.75,89.11,85.73,76.62,87.4057142857143
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.31,90.29,95.74,88.37,89.11,86.22,75.78,87.26
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.41,90.43,95.77,88.6,88.07,84.24,76.18,86.95714285714287
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_mean-cls_avg,85.26,90.31,95.72,88.38,89.11,85.07,75.64,87.06999999999998
