,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,83.41,87.71,94.66,86.12,88.03,79.4,72.17,84.49999999999999
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.36,90.39,95.57,88.6,90.88,91.0,74.43,88.03285714285714
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.19,90.17,95.54,88.18,90.83,91.4,74.26,87.93857142857144
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.23,90.2,95.55,88.45,90.66,91.6,74.61,88.04285714285716
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.02,90.23,95.33,88.48,90.72,93.6,74.9,88.32571428571428
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.15,90.17,95.55,88.62,91.16,91.6,74.72,88.13857142857144
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,85.19,90.23,95.49,88.57,90.5,90.4,73.51,87.69857142857143
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,83.11,87.5,94.3,85.64,87.37,80.2,73.28,84.48571428571428
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.04,90.15,95.58,88.75,90.83,92.2,72.99,87.9342857142857
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.96,90.12,95.54,88.31,90.99,91.4,74.09,87.9157142857143
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.06,90.17,95.55,88.71,90.55,90.6,74.14,87.82571428571428
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,84.9,90.2,95.54,88.44,90.66,92.2,71.48,87.63142857142859
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,84.99,90.01,95.61,88.35,90.61,92.4,74.09,88.00857142857144
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,84.95,90.25,95.53,88.66,90.61,91.2,74.03,87.89
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,83.27,87.5,94.5,85.85,87.31,81.4,72.64,84.63857142857144
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.11,90.25,95.65,88.68,90.61,91.6,74.14,88.00571428571428
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.83,90.23,95.63,88.28,90.77,91.4,75.07,88.03
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.25,90.36,95.57,88.62,90.83,91.2,74.03,87.98
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,84.82,90.04,95.55,88.36,90.66,91.4,74.67,87.92857142857143
19,roberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.18,90.17,95.44,88.56,90.99,91.8,74.32,88.0657142857143
20,roberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,84.82,90.12,95.54,88.42,90.72,90.4,73.22,87.60571428571428
21,roberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,82.96,87.42,94.12,84.91,87.97,79.0,71.3,83.9542857142857
22,roberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.42,90.36,95.74,88.34,91.05,92.0,75.48,88.34142857142858
23,roberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.31,90.17,95.51,87.81,90.94,93.2,74.9,88.26285714285714
