,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,83.55,87.58,94.67,86.02,86.47,72.91,72.37,83.36714285714285
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.25,90.0,95.61,88.69,89.11,85.27,75.34,87.03857142857144
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.04,89.85,95.53,88.02,89.11,85.77,75.07,86.91285714285712
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.34,90.12,95.59,88.59,89.11,84.26,74.95,86.85142857142857
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.14,89.88,95.53,88.21,88.88,85.11,74.75,86.78571428571426
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.12,89.72,95.5,88.26,89.33,85.75,75.34,87.00285714285715
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,85.21,89.73,95.51,88.4,88.99,85.27,74.78,86.84142857142857
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,83.22,87.43,94.25,86.04,86.24,73.07,72.42,83.23857142857142
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.09,90.16,95.63,88.62,88.99,85.23,74.68,86.91428571428573
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.88,89.87,95.56,87.92,88.76,86.22,74.46,86.81000000000002
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.06,90.2,95.63,88.52,88.07,84.54,74.41,86.63285714285713
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,84.98,89.92,95.55,88.18,88.53,85.25,74.14,86.64999999999999
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,84.94,89.74,95.57,88.16,88.76,85.8,74.78,86.82142857142856
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,84.94,89.85,95.5,88.31,88.19,85.14,74.02,86.5642857142857
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,83.27,87.45,94.5,86.06,86.58,73.92,72.06,83.4057142857143
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.16,90.1,95.65,88.62,88.99,85.0,74.56,86.86857142857141
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.89,89.83,95.56,87.97,88.99,86.04,74.73,86.85857142857142
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.15,90.23,95.64,88.55,88.42,84.11,74.12,86.60285714285715
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,84.99,89.82,95.55,88.19,88.42,85.29,74.29,86.64999999999999
19,roberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.01,89.72,95.56,88.24,88.76,85.82,74.7,86.83000000000001
20,roberta-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,85.02,89.88,95.5,88.29,88.65,85.49,73.7,86.64714285714287
21,roberta-base,CLS_NLI,simple,CLS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,83.16,87.31,93.89,85.09,86.35,71.9,70.95,82.66428571428573
22,roberta-base,AVG_NLI,simple,AVG,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.36,90.3,95.78,88.13,89.68,86.26,75.51,87.28857142857143
23,roberta-base,AVG-NS_NLI,simple-ns,AVG-NS,NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.23,89.88,95.6,87.45,89.45,86.61,75.37,87.08428571428571
24,roberta-base,CLS+AVG_NLI,two-tokens,CLS+AVG,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.45,90.38,95.79,88.1,89.45,84.67,74.9,86.96285714285715
25,roberta-base,CLS+AVG-NS_NLI,two-tokens,CLS+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.24,90.05,95.58,87.7,89.11,85.71,74.12,86.78714285714285
26,roberta-base,AVG+AVG-NS_NLI,two-tokens,AVG+AVG-NS,NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.18,89.79,95.55,87.72,89.22,86.55,75.69,87.10000000000001
27,roberta-base,CLS+AVG+AVG-NS_NLI,three-tokens,CLS+AVG+AVG-NS,NLI,4,2304,12,0,None,dynamic_layer_weighted_sum-avg,85.26,89.96,95.57,87.88,89.11,85.88,74.04,86.8142857142857
28,roberta-base,CLS_LOO-SENTEVAL-NLI,simple,CLS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,83.19,87.49,94.21,85.79,86.7,74.49,71.69,83.36571428571428
29,roberta-base,AVG_LOO-SENTEVAL-NLI,simple,AVG,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,85.2,90.3,95.7,88.62,88.76,85.53,75.22,87.04714285714286
30,roberta-base,AVG-NS_LOO-SENTEVAL-NLI,simple-ns,AVG-NS,LOO-SENTEVAL-NLI,4,768,12,0,None,dynamic_layer_weighted_sum-avg,84.97,89.98,95.59,87.91,88.76,86.19,74.73,86.87571428571427
31,roberta-base,CLS+AVG_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,85.26,90.26,95.66,88.55,88.76,84.24,74.48,86.74428571428572
32,roberta-base,CLS+AVG-NS_LOO-SENTEVAL-NLI,two-tokens,CLS+AVG-NS,LOO-SENTEVAL-NLI,4,1536,12,0,None,dynamic_layer_weighted_sum-avg,84.98,90.02,95.58,88.14,88.42,85.16,74.16,86.63714285714285
