model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
roberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(83.68), 'acc': np.float64(83.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.88), 'acc': np.float64(82.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.95), 'acc': np.float64(94.98), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.02), 'acc': np.float64(86.14), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.93), 'acc': 87.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(76.96), 'acc': 84.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.4), 'acc': 73.39, 'f1': 82.04, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(85.02), 'acc': np.float64(84.98), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.15), 'acc': np.float64(90.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.42), 'acc': np.float64(95.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.82), 'acc': np.float64(88.82), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.76), 'acc': 90.33, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.16), 'acc': 90.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.18), 'acc': 75.65, 'f1': 82.87, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(84.84), 'acc': np.float64(84.74), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.02), 'acc': np.float64(90.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.4), 'acc': np.float64(95.53), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.3), 'acc': np.float64(88.41), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.3), 'acc': 90.33, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.66), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.93), 'acc': 75.59, 'f1': 82.89, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(85.15), 'acc': np.float64(85.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.06), 'acc': np.float64(90.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.55), 'acc': np.float64(95.49), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.64), 'acc': np.float64(88.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 89.84, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.04), 'acc': 90.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.86), 'acc': 75.48, 'f1': 82.56, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(84.91), 'acc': np.float64(84.82), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.94), 'acc': np.float64(90.04), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.42), 'acc': np.float64(95.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.3), 'acc': np.float64(88.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.19), 'acc': 89.95, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.96), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.91), 'acc': 74.72, 'f1': 82.49, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(84.91), 'acc': np.float64(84.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.06), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.37), 'acc': np.float64(95.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.38), 'acc': np.float64(88.56), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.42), 'acc': 90.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.51), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.67), 'acc': 75.42, 'f1': 82.58, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(84.93), 'acc': np.float64(84.82), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.02), 'acc': np.float64(90.07), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.43), 'acc': np.float64(95.17), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.43), 'acc': np.float64(88.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.07), 'acc': 90.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.03), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(76.35), 'acc': 75.25, 'f1': 82.29, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(83.53), 'acc': np.float64(83.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(88.26), 'acc': np.float64(88.35), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.14), 'acc': np.float64(95.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.67), 'acc': np.float64(86.76), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 86.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(78.39), 'acc': 84.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.98), 'acc': 70.55, 'f1': 80.11, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(85.01), 'acc': np.float64(84.98), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.99), 'acc': np.float64(90.25), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.67), 'acc': np.float64(95.68), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.52), 'acc': np.float64(88.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.3), 'acc': 90.39, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.33), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.43), 'acc': 73.91, 'f1': 81.81, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,12,"{'devacc': np.float64(84.81), 'acc': np.float64(84.79), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.7), 'acc': np.float64(89.8), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.59), 'acc': np.float64(95.54), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.88), 'acc': np.float64(87.99), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.65), 'acc': 90.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.69), 'acc': 92.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.82), 'acc': 73.97, 'f1': 81.86, 'ndev': 4076, 'ntest': 1725}"
