model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
roberta-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(83.49), 'acc': np.float64(83.66), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.62), 'acc': np.float64(87.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.77), 'acc': np.float64(94.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.02), 'acc': np.float64(85.88), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.35), 'acc': 87.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.75), 'acc': 79.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.77), 'acc': 72.87, 'f1': 81.43, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.22), 'acc': np.float64(85.22), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.11), 'acc': np.float64(90.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.66), 'acc': np.float64(95.64), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.66), 'acc': np.float64(88.82), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.38), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.12), 'acc': 74.49, 'f1': 82.19, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(84.96), 'acc': np.float64(84.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.85), 'acc': np.float64(90.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.56), 'acc': np.float64(95.6), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.06), 'acc': np.float64(88.38), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.22), 'acc': 90.77, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.95), 'acc': 92.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.47), 'acc': 76.7, 'f1': 83.63, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.31), 'acc': np.float64(85.49), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.07), 'acc': np.float64(90.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.6), 'acc': np.float64(95.57), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.55), 'acc': np.float64(88.62), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.33), 'acc': 90.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.12), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.97), 'acc': 73.62, 'f1': 81.66, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.07), 'acc': np.float64(85.08), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.81), 'acc': np.float64(90.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.5), 'acc': np.float64(95.42), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.28), 'acc': np.float64(88.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.11), 'acc': 90.5, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.03), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.88), 'acc': 74.32, 'f1': 82.09, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.1), 'acc': np.float64(85.01), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.72), 'acc': np.float64(89.83), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.51), 'acc': np.float64(95.44), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.25), 'acc': np.float64(88.62), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(89.56), 'acc': 91.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.53), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.49), 'acc': 74.72, 'f1': 82.49, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.17), 'acc': np.float64(84.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.81), 'acc': np.float64(89.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.53), 'acc': np.float64(95.53), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.34), 'acc': np.float64(88.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.03), 'acc': 90.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.2), 'acc': 72.93, 'f1': 81.27, 'ndev': 4076, 'ntest': 1725}"
roberta-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(83.33), 'acc': np.float64(83.27), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.55), 'acc': np.float64(87.47), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.41), 'acc': np.float64(94.41), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.11), 'acc': np.float64(86.13), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.01), 'acc': 86.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.48), 'acc': 79.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.6), 'acc': 70.61, 'f1': 80.43, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(85.04), 'acc': np.float64(84.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(90.1), 'acc': np.float64(90.17), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.66), 'acc': np.float64(95.6), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.6), 'acc': np.float64(88.73), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 91.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.4), 'acc': 90.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.29), 'acc': 73.91, 'f1': 81.9, 'ndev': 4076, 'ntest': 1725}"
roberta-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,12,"{'devacc': np.float64(84.81), 'acc': np.float64(84.84), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(89.89), 'acc': np.float64(90.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.56), 'acc': np.float64(95.62), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.94), 'acc': np.float64(88.27), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.99), 'acc': 90.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.95), 'acc': 92.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.75), 'acc': 74.03, 'f1': 81.94, 'ndev': 4076, 'ntest': 1725}"
