,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,roberta-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,83.66,87.36,94.75,85.88,87.64,79.0,72.87,84.45142857142856
1,roberta-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.22,90.44,95.64,88.82,90.66,91.8,74.49,88.15285714285713
2,roberta-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.93,90.23,95.6,88.38,90.77,92.8,76.7,88.48714285714286
3,roberta-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.49,90.38,95.57,88.62,90.72,91.2,73.62,87.94285714285715
4,roberta-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.08,90.15,95.42,88.28,90.5,92.0,74.32,87.96428571428571
5,roberta-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.01,89.83,95.44,88.62,91.27,92.4,74.72,88.1842857142857
6,roberta-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.93,89.99,95.53,88.63,90.66,90.6,72.93,87.61
7,roberta-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,83.27,87.47,94.41,86.13,86.44,79.6,70.61,83.99
8,roberta-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.87,90.17,95.6,88.73,91.05,90.8,73.91,87.87571428571428
9,roberta-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.84,90.39,95.62,88.27,90.83,92.4,74.03,88.05428571428571
10,roberta-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.96,90.39,95.5,88.6,90.39,90.6,74.32,87.82285714285715
11,roberta-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.0,90.09,95.5,88.32,90.61,92.6,72.41,87.78999999999999
12,roberta-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.74,89.91,95.38,88.31,91.27,91.6,73.91,87.8742857142857
13,roberta-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.89,90.25,95.54,88.6,90.88,91.0,73.39,87.79285714285713
14,roberta-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,83.02,87.42,94.62,86.31,86.93,79.8,73.91,84.57285714285715
15,roberta-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,85.11,90.36,95.45,88.53,90.77,91.4,73.86,87.92571428571429
16,roberta-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.81,90.33,95.62,88.35,90.77,92.4,74.2,88.06857142857143
17,roberta-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.87,90.25,95.59,88.54,90.44,92.2,72.58,87.78142857142859
18,roberta-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.82,90.38,95.39,88.3,91.05,91.4,72.17,87.64428571428572
19,roberta-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,12,0,None,dynamic_layer_weighted_sum-cls_avg,84.89,90.04,95.44,88.54,91.1,92.6,74.32,88.13285714285715
