model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
modern-bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,22,"{'devacc': np.float64(73.42), 'acc': np.float64(73.55), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.92), 'acc': np.float64(78.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.46), 'acc': np.float64(91.41), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.02), 'acc': np.float64(80.09), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.66), 'acc': 73.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(49.89), 'acc': 58.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.19), 'acc': 68.12, 'f1': 79.75, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,22,"{'devacc': np.float64(78.21), 'acc': np.float64(78.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.37), 'acc': np.float64(84.45), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.19), 'acc': np.float64(93.02), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.12), 'acc': np.float64(83.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.85), 'acc': 81.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.82), 'acc': 76.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.01), 'acc': 67.01, 'f1': 79.09, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-avg,4,0,22,"{'devacc': np.float64(78.71), 'acc': np.float64(78.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.2), 'acc': np.float64(84.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.17), 'acc': np.float64(93.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.93), 'acc': np.float64(84.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.68), 'acc': 83.09, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.31), 'acc': 84.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.11), 'acc': 67.65, 'f1': 79.78, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,22,"{'devacc': np.float64(77.29), 'acc': np.float64(76.97), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.55), 'acc': np.float64(81.78), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.42), 'acc': np.float64(93.22), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.56), 'acc': np.float64(81.93), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.7), 'acc': 79.35, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(62.82), 'acc': 65.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.35), 'acc': 66.55, 'f1': 78.83, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,22,"{'devacc': np.float64(77.8), 'acc': np.float64(77.21), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.37), 'acc': np.float64(82.46), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.58), 'acc': np.float64(93.61), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.58), 'acc': np.float64(84.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.62), 'acc': 80.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(64.75), 'acc': 71.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.59), 'acc': 66.96, 'f1': 79.97, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-avg,4,0,22,"{'devacc': np.float64(78.13), 'acc': np.float64(78.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.95), 'acc': np.float64(84.05), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.04), 'acc': np.float64(92.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.53), 'acc': np.float64(84.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 82.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(67.44), 'acc': 75.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.67), 'acc': 65.97, 'f1': 78.63, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-avg,4,0,22,"{'devacc': np.float64(77.72), 'acc': np.float64(77.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.97), 'acc': np.float64(82.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.25), 'acc': np.float64(93.18), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.0), 'acc': np.float64(83.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.5), 'acc': 80.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(64.01), 'acc': 70.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.35), 'acc': 66.09, 'f1': 78.75, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,22,"{'devacc': np.float64(73.35), 'acc': np.float64(73.19), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.0), 'acc': np.float64(78.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.58), 'acc': np.float64(91.52), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(79.99), 'acc': np.float64(79.99), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(73.85), 'acc': 74.24, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(50.7), 'acc': 61.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.17), 'acc': 69.04, 'f1': 79.92, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,22,"{'devacc': np.float64(78.13), 'acc': np.float64(78.2), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.33), 'acc': np.float64(84.4), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.14), 'acc': np.float64(92.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.18), 'acc': np.float64(83.85), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.19), 'acc': 80.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.45), 'acc': 78.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.98), 'acc': 66.72, 'f1': 78.93, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-avg,4,0,22,"{'devacc': np.float64(78.61), 'acc': np.float64(78.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.2), 'acc': np.float64(84.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.18), 'acc': np.float64(92.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.96), 'acc': np.float64(85.0), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.65), 'acc': 81.88, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.13), 'acc': 84.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.09), 'acc': 67.71, 'f1': 79.81, 'ndev': 4076, 'ntest': 1725}"
