,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-avg,73.42,78.92,91.46,80.02,74.66,49.89,70.19,74.08
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.21,84.37,93.19,84.12,80.85,66.82,68.01,79.36714285714287
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.71,84.2,93.17,84.93,82.68,73.31,69.11,80.87285714285714
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.29,82.55,93.42,82.56,79.7,62.82,67.35,77.95571428571428
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.8,83.37,93.58,84.58,80.62,64.75,67.59,78.89857142857143
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,78.13,83.95,93.04,84.53,81.54,67.44,67.67,79.47142857142856
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_mean-avg,77.72,82.97,93.25,84.0,80.5,64.01,67.35,78.54285714285713
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,73.35,79.0,91.58,79.99,73.85,50.7,70.17,74.09142857142857
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.13,84.33,93.14,84.18,81.19,66.45,67.98,79.34285714285714
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.61,84.2,93.18,84.96,81.65,73.13,69.09,80.68857142857144
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.24,82.78,93.26,82.56,79.82,63.06,67.25,77.99571428571429
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.72,83.31,93.53,84.73,80.73,65.04,67.96,79.00285714285715
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,78.24,83.98,93.0,84.58,80.5,67.28,68.03,79.37285714285714
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_mean-avg,77.7,82.87,93.27,83.94,79.82,64.84,67.57,78.57285714285715
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,73.29,78.81,91.55,79.96,74.54,50.99,70.07,74.17285714285715
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.15,84.35,93.08,84.16,81.77,66.09,68.18,79.39714285714285
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-avg,78.71,84.21,93.15,85.01,82.11,73.46,68.77,80.77428571428571
17,modern-bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.17,82.73,93.29,82.61,80.05,63.3,67.67,78.11714285714287
18,modern-bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,77.78,83.29,93.58,84.65,80.73,64.84,67.69,78.93714285714285
19,modern-bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-avg,78.33,83.96,93.06,84.54,81.42,67.44,67.96,79.53
