model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
modern-bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,22,"{'devacc': np.float64(73.59), 'acc': np.float64(73.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.02), 'acc': np.float64(78.52), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.47), 'acc': np.float64(91.37), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.11), 'acc': np.float64(79.82), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.34), 'acc': 76.28, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(50.72), 'acc': 58.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.17), 'acc': 68.64, 'f1': 79.94, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,22,"{'devacc': np.float64(78.16), 'acc': np.float64(78.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.35), 'acc': np.float64(84.74), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.13), 'acc': np.float64(92.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.11), 'acc': np.float64(84.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 80.78, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.1), 'acc': 73.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.18), 'acc': 66.38, 'f1': 78.44, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-cls,4,0,22,"{'devacc': np.float64(78.71), 'acc': np.float64(78.69), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.18), 'acc': np.float64(84.0), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.13), 'acc': np.float64(92.84), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.08), 'acc': np.float64(85.01), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 82.48, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.28), 'acc': 85.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.65), 'acc': 67.94, 'f1': 79.47, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,22,"{'devacc': np.float64(77.3), 'acc': np.float64(77.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.65), 'acc': np.float64(82.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.32), 'acc': np.float64(93.4), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(83.1), 'acc': np.float64(82.73), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.16), 'acc': 80.12, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(63.54), 'acc': 69.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.49), 'acc': 65.68, 'f1': 78.57, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,22,"{'devacc': np.float64(77.87), 'acc': np.float64(77.66), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.39), 'acc': np.float64(82.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.55), 'acc': np.float64(93.47), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.78), 'acc': np.float64(84.73), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.85), 'acc': 81.44, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(65.77), 'acc': 77.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.52), 'acc': 66.14, 'f1': 79.13, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls,4,0,22,"{'devacc': np.float64(78.34), 'acc': np.float64(78.41), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.12), 'acc': np.float64(83.71), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.99), 'acc': np.float64(92.65), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.66), 'acc': np.float64(84.4), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.88), 'acc': 81.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(67.75), 'acc': 75.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.81), 'acc': 66.14, 'f1': 78.7, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-cls,4,0,22,"{'devacc': np.float64(77.71), 'acc': np.float64(77.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.99), 'acc': np.float64(82.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.24), 'acc': np.float64(93.22), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.2), 'acc': np.float64(84.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.08), 'acc': 80.62, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(64.05), 'acc': 71.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.62), 'acc': 66.09, 'f1': 79.38, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,22,"{'devacc': np.float64(73.47), 'acc': np.float64(73.63), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.33), 'acc': np.float64(78.12), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.66), 'acc': np.float64(91.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.05), 'acc': np.float64(80.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.31), 'acc': 73.92, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(51.45), 'acc': 57.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.14), 'acc': 69.39, 'f1': 80.03, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,22,"{'devacc': np.float64(78.22), 'acc': np.float64(78.0), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.36), 'acc': np.float64(84.53), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.04), 'acc': np.float64(92.83), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.08), 'acc': np.float64(83.94), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.77), 'acc': 81.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.2), 'acc': 75.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.45), 'acc': 66.72, 'f1': 78.55, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls,4,0,22,"{'devacc': np.float64(78.72), 'acc': np.float64(78.67), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.31), 'acc': np.float64(84.03), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.11), 'acc': np.float64(93.03), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.02), 'acc': np.float64(85.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.22), 'acc': 82.81, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.28), 'acc': 85.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.87), 'acc': 68.17, 'f1': 79.51, 'ndev': 4076, 'ntest': 1725}"
