,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-cls,73.59,79.02,91.47,80.11,75.34,50.72,70.17,74.34571428571428
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-cls,78.16,84.35,93.13,84.11,81.54,66.1,68.18,79.36714285714285
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_mean-cls,78.71,84.18,93.13,85.08,82.45,73.28,68.65,80.78285714285713
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,77.3,82.65,93.32,83.1,80.16,63.54,67.49,78.22285714285714
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,77.87,83.39,93.55,84.78,80.85,65.77,67.52,79.10428571428572
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,78.34,84.12,92.99,84.66,81.88,67.75,67.81,79.64999999999999
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_mean-cls,77.71,82.99,93.24,84.2,81.08,64.05,67.62,78.69857142857143
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,73.47,79.33,91.66,80.05,74.31,51.45,70.14,74.3442857142857
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,78.22,84.36,93.04,84.08,81.77,66.2,68.45,79.44571428571429
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,78.72,84.31,93.11,85.02,82.22,73.28,68.87,80.78999999999999
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,77.3,82.81,93.23,82.85,79.24,63.59,67.32,78.04857142857145
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,77.78,83.44,93.55,84.71,80.85,65.33,68.28,79.13428571428571
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_mean-cls,78.31,84.02,93.06,84.64,81.31,67.85,67.89,79.58285714285714
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_mean-cls,77.79,83.01,93.24,83.99,80.85,64.51,67.59,78.71142857142857
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,73.55,79.21,91.58,80.1,74.43,50.77,70.12,74.25142857142858
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_mean-cls,78.24,84.34,93.07,84.13,81.54,66.56,67.98,79.40857142857143
