model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
modern-bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(73.45), 'acc': np.float64(73.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.96), 'acc': np.float64(78.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.45), 'acc': np.float64(91.38), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.15), 'acc': np.float64(79.6), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.46), 'acc': 75.23, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(50.92), 'acc': 65.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.97), 'acc': 68.41, 'f1': 79.67, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(78.2), 'acc': np.float64(78.07), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.32), 'acc': np.float64(84.08), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.14), 'acc': np.float64(92.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.21), 'acc': np.float64(84.1), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 80.94, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(65.96), 'acc': 73.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.08), 'acc': 66.2, 'f1': 78.48, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(78.67), 'acc': np.float64(78.36), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.18), 'acc': np.float64(84.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.15), 'acc': np.float64(93.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.12), 'acc': np.float64(85.0), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.8), 'acc': 82.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.24), 'acc': 84.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.52), 'acc': 67.77, 'f1': 79.78, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(77.21), 'acc': np.float64(77.26), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.7), 'acc': np.float64(82.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.34), 'acc': np.float64(92.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(83.36), 'acc': np.float64(83.29), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.16), 'acc': 80.23, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(63.55), 'acc': 68.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.79), 'acc': 66.14, 'f1': 78.56, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(77.77), 'acc': np.float64(77.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.41), 'acc': np.float64(83.0), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.54), 'acc': np.float64(93.63), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.76), 'acc': np.float64(84.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.08), 'acc': 81.0, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.27), 'acc': 70.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.86), 'acc': 65.91, 'f1': 78.88, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(78.26), 'acc': np.float64(78.05), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.04), 'acc': np.float64(83.95), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.04), 'acc': np.float64(92.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.74), 'acc': np.float64(84.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.65), 'acc': 81.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(67.85), 'acc': 72.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.79), 'acc': 66.09, 'f1': 78.59, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(77.68), 'acc': np.float64(77.48), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.05), 'acc': np.float64(82.86), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.27), 'acc': np.float64(93.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.2), 'acc': np.float64(84.06), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.62), 'acc': 80.18, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(64.45), 'acc': 70.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.52), 'acc': 66.03, 'f1': 79.35, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(73.44), 'acc': np.float64(72.95), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.16), 'acc': np.float64(78.65), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.61), 'acc': np.float64(91.83), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.05), 'acc': np.float64(80.01), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.2), 'acc': 72.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(51.23), 'acc': 58.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.29), 'acc': 69.74, 'f1': 80.58, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(78.18), 'acc': np.float64(77.79), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.5), 'acc': np.float64(84.21), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.03), 'acc': np.float64(92.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.15), 'acc': np.float64(84.23), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.65), 'acc': 81.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.25), 'acc': 71.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.35), 'acc': 67.25, 'f1': 79.25, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(78.65), 'acc': np.float64(78.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.18), 'acc': np.float64(84.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.14), 'acc': np.float64(93.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.09), 'acc': np.float64(84.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.88), 'acc': 83.09, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.15), 'acc': 85.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.97), 'acc': 67.94, 'f1': 79.72, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_LOO-SENTEVAL,1536,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(77.28), 'acc': np.float64(76.9), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.72), 'acc': np.float64(82.49), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.28), 'acc': np.float64(93.18), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.73), 'acc': np.float64(82.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.24), 'acc': 79.52, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(63.02), 'acc': 71.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.62), 'acc': 64.99, 'f1': 77.58, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(77.89), 'acc': np.float64(77.62), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.34), 'acc': np.float64(83.21), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.55), 'acc': np.float64(93.37), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.71), 'acc': np.float64(84.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.85), 'acc': 81.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(64.69), 'acc': 70.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.79), 'acc': 66.49, 'f1': 79.46, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(78.24), 'acc': np.float64(77.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.09), 'acc': np.float64(83.61), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.0), 'acc': np.float64(92.66), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.63), 'acc': np.float64(84.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.62), 'acc': 80.83, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(67.7), 'acc': 76.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.84), 'acc': 66.14, 'f1': 78.89, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,2304,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(77.77), 'acc': np.float64(77.42), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.95), 'acc': np.float64(83.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.25), 'acc': np.float64(93.3), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.11), 'acc': np.float64(83.85), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.7), 'acc': 79.46, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(65.19), 'acc': 71.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.59), 'acc': 66.03, 'f1': 79.35, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS_AVG-SENTEVAL,768,dynamic_layer_weighted_mean-cls_avg,4,0,22,"{'devacc': np.float64(73.45), 'acc': np.float64(73.31), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.16), 'acc': np.float64(78.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.57), 'acc': np.float64(91.52), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.09), 'acc': np.float64(80.01), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(73.17), 'acc': 72.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(51.23), 'acc': 62.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.17), 'acc': 69.22, 'f1': 80.06, 'ndev': 4076, 'ntest': 1725}"
