model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
modern-bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(73.46), 'acc': np.float64(73.22), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.27), 'acc': np.float64(78.7), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.98), 'acc': np.float64(91.89), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.34), 'acc': np.float64(82.26), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.75), 'acc': 77.32, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(56.68), 'acc': 63.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.46), 'acc': 69.45, 'f1': 80.79, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(78.45), 'acc': np.float64(78.48), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.23), 'acc': np.float64(83.98), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.39), 'acc': np.float64(93.34), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.62), 'acc': np.float64(86.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 83.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.81), 'acc': 83.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.3), 'acc': 68.17, 'f1': 79.46, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(78.55), 'acc': np.float64(78.54), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.16), 'acc': np.float64(83.37), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.28), 'acc': np.float64(93.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.8), 'acc': np.float64(86.1), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.94), 'acc': 84.02, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(78.41), 'acc': 87.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.85), 'acc': 70.26, 'f1': 80.5, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(77.88), 'acc': np.float64(77.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.08), 'acc': np.float64(82.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.74), 'acc': np.float64(93.61), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.55), 'acc': np.float64(86.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.6), 'acc': 84.07, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.78), 'acc': 74.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.47), 'acc': 66.38, 'f1': 78.66, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(78.05), 'acc': np.float64(77.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.24), 'acc': np.float64(83.05), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.76), 'acc': np.float64(93.72), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.1), 'acc': np.float64(86.16), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 82.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.7), 'acc': 80.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.03), 'acc': 66.61, 'f1': 79.22, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(78.42), 'acc': np.float64(78.33), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.86), 'acc': np.float64(83.74), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.29), 'acc': np.float64(93.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.25), 'acc': np.float64(86.49), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.6), 'acc': 84.62, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.79), 'acc': 83.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.93), 'acc': 67.59, 'f1': 79.3, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(78.06), 'acc': np.float64(77.6), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.25), 'acc': np.float64(83.39), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.61), 'acc': np.float64(93.5), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.35), 'acc': np.float64(86.58), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 82.87, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(68.98), 'acc': 81.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.39), 'acc': 65.91, 'f1': 79.28, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(73.24), 'acc': np.float64(73.02), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.89), 'acc': np.float64(78.52), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.47), 'acc': np.float64(92.51), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.39), 'acc': np.float64(80.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(73.17), 'acc': 73.31, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(57.15), 'acc': 65.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.04), 'acc': 69.04, 'f1': 80.54, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(78.27), 'acc': np.float64(78.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.11), 'acc': np.float64(83.74), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.26), 'acc': np.float64(93.25), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.82), 'acc': np.float64(85.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.22), 'acc': 81.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(72.17), 'acc': 82.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.97), 'acc': 70.03, 'f1': 80.0, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(78.55), 'acc': np.float64(78.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.85), 'acc': np.float64(83.87), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.29), 'acc': np.float64(93.07), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.55), 'acc': np.float64(85.66), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 82.76, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(78.34), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.12), 'acc': 69.68, 'f1': 79.71, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-avg,4,0,22,"{'devacc': np.float64(77.68), 'acc': np.float64(77.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.22), 'acc': np.float64(82.84), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.69), 'acc': np.float64(93.62), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.03), 'acc': np.float64(84.24), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.24), 'acc': 79.96, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.43), 'acc': 73.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.06), 'acc': 65.91, 'f1': 78.82, 'ndev': 4076, 'ntest': 1725}"
