,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-avg,73.46,79.27,91.98,82.34,77.75,56.68,70.46,75.99142857142856
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.45,84.23,93.39,86.62,83.37,71.81,68.3,80.88142857142857
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.55,84.16,93.28,85.8,83.94,78.41,69.85,81.99857142857142
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.88,83.08,93.74,86.55,83.6,66.78,68.47,80.01428571428572
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,78.05,83.24,93.76,86.1,83.37,71.7,68.03,80.60714285714286
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,78.42,83.86,93.29,86.25,83.6,73.79,67.93,81.02
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_sum-avg,78.06,83.25,93.61,86.35,83.37,68.98,67.39,80.14428571428572
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,73.24,78.89,92.47,80.39,73.17,57.15,70.04,75.05
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.27,84.11,93.26,84.82,82.22,72.17,68.97,80.54571428571428
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.55,83.85,93.29,85.55,82.57,78.34,71.12,81.89571428571428
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.68,83.22,93.69,84.03,79.24,66.43,68.06,78.90714285714286
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,78.01,83.2,93.65,85.46,81.31,72.01,69.75,80.48428571428572
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,78.26,83.93,93.25,85.23,82.34,72.52,68.18,80.53
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_sum-avg,77.96,83.36,93.55,85.18,80.85,68.75,67.62,79.61
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,73.38,78.94,92.44,80.39,75.8,57.08,70.22,75.46428571428571
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.29,84.15,93.35,85.18,81.42,71.73,68.43,80.36428571428573
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-avg,78.5,83.93,93.27,85.65,82.34,78.45,70.85,81.85571428571428
17,modern-bert-base,CLS+AVG_AVG-SENTEVAL,two-tokens,CLS+AVG,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.66,83.2,93.8,84.37,79.82,65.92,68.11,78.98285714285714
18,modern-bert-base,CLS+AVG-NS_AVG-SENTEVAL,two-tokens,CLS+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,77.98,83.26,93.7,85.6,81.31,71.02,69.73,80.37142857142855
19,modern-bert-base,AVG+AVG-NS_AVG-SENTEVAL,two-tokens,AVG+AVG-NS,AVG-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-avg,78.28,83.88,93.28,85.48,82.22,71.39,68.35,80.41142857142857
20,modern-bert-base,CLS+AVG+AVG-NS_AVG-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,AVG-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_sum-avg,77.91,83.36,93.61,85.38,80.73,68.21,67.64,79.54857142857144
