model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
modern-bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,22,"{'devacc': np.float64(75.65), 'acc': np.float64(75.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.42), 'acc': np.float64(79.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.82), 'acc': np.float64(91.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.3), 'acc': np.float64(82.32), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.47), 'acc': 78.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(72.65), 'acc': 83.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.24), 'acc': 69.16, 'f1': 80.09, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,22,"{'devacc': np.float64(78.34), 'acc': np.float64(78.44), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.44), 'acc': np.float64(83.87), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.14), 'acc': np.float64(93.14), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.55), 'acc': np.float64(84.67), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.11), 'acc': 80.51, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.42), 'acc': 85.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.66), 'acc': 67.71, 'f1': 79.35, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-cls,4,0,22,"{'devacc': np.float64(78.97), 'acc': np.float64(79.05), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.54), 'acc': np.float64(84.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.15), 'acc': np.float64(92.76), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.27), 'acc': np.float64(85.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.91), 'acc': 82.04, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(85.23), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.04), 'acc': 68.58, 'f1': 79.69, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,22,"{'devacc': np.float64(77.72), 'acc': np.float64(77.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.46), 'acc': np.float64(83.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.39), 'acc': np.float64(93.18), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.62), 'acc': np.float64(84.68), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.77), 'acc': 81.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(70.41), 'acc': 79.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.49), 'acc': 66.38, 'f1': 78.83, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,22,"{'devacc': np.float64(78.78), 'acc': np.float64(78.57), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.29), 'acc': np.float64(83.71), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.67), 'acc': np.float64(93.52), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.29), 'acc': np.float64(85.45), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.94), 'acc': 84.24, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(84.01), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.71), 'acc': 65.97, 'f1': 79.0, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls,4,0,22,"{'devacc': np.float64(78.57), 'acc': np.float64(78.32), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.41), 'acc': np.float64(84.19), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.04), 'acc': np.float64(92.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.1), 'acc': np.float64(85.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.88), 'acc': 81.11, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(75.84), 'acc': 86.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.66), 'acc': 65.74, 'f1': 78.58, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-cls,4,0,22,"{'devacc': np.float64(78.27), 'acc': np.float64(77.98), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.81), 'acc': np.float64(83.79), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.22), 'acc': np.float64(92.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.21), 'acc': np.float64(85.26), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 81.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(74.58), 'acc': 85.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.52), 'acc': 65.68, 'f1': 78.86, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,22,"{'devacc': np.float64(74.44), 'acc': np.float64(74.4), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.53), 'acc': np.float64(80.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.83), 'acc': np.float64(91.24), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.86), 'acc': np.float64(80.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(77.29), 'acc': 76.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(57.56), 'acc': 60.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.07), 'acc': 69.68, 'f1': 80.2, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,22,"{'devacc': np.float64(78.2), 'acc': np.float64(78.03), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.59), 'acc': np.float64(84.21), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.09), 'acc': np.float64(92.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.15), 'acc': np.float64(84.16), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.88), 'acc': 81.49, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.56), 'acc': 77.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.33), 'acc': 68.52, 'f1': 79.42, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls,4,0,22,"{'devacc': np.float64(78.76), 'acc': np.float64(78.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.43), 'acc': np.float64(84.08), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.24), 'acc': np.float64(93.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.29), 'acc': np.float64(85.35), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.22), 'acc': 82.32, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.7), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.3), 'acc': 69.1, 'f1': 79.76, 'ndev': 4076, 'ntest': 1725}"
