model,pooling,out_vec_size,best_layers,epochs,nhid,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC
modern-bert-base,CLS_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(74.5), 'acc': np.float64(74.36), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.3), 'acc': np.float64(78.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.97), 'acc': np.float64(92.21), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(82.43), 'acc': np.float64(82.25), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.47), 'acc': 78.14, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(68.91), 'acc': 77.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.02), 'acc': 69.22, 'f1': 80.08, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(78.68), 'acc': np.float64(78.49), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.45), 'acc': np.float64(83.82), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.38), 'acc': np.float64(93.51), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.26), 'acc': np.float64(86.34), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.49), 'acc': 83.47, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.0), 'acc': 84.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.03), 'acc': 67.71, 'f1': 79.44, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_IN-TASK,768,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(78.7), 'acc': np.float64(78.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.2), 'acc': np.float64(84.45), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.25), 'acc': np.float64(93.11), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.87), 'acc': np.float64(85.79), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.94), 'acc': 84.07, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(83.58), 'acc': 90.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.63), 'acc': 69.04, 'f1': 79.94, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(78.25), 'acc': np.float64(78.03), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.32), 'acc': np.float64(83.53), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.78), 'acc': np.float64(93.69), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.3), 'acc': np.float64(86.27), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 83.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(73.44), 'acc': 86.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.27), 'acc': 65.86, 'f1': 79.0, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(78.67), 'acc': np.float64(78.34), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.54), 'acc': np.float64(83.36), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.73), 'acc': np.float64(93.72), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.05), 'acc': np.float64(86.28), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 83.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(80.63), 'acc': 89.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.81), 'acc': 65.97, 'f1': 79.24, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_IN-TASK,1536,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(78.64), 'acc': np.float64(78.35), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.17), 'acc': np.float64(84.08), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.27), 'acc': np.float64(93.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.98), 'acc': np.float64(86.03), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.83), 'acc': 84.02, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(77.97), 'acc': 86.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.06), 'acc': 65.74, 'f1': 78.72, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,2304,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(78.56), 'acc': np.float64(78.31), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.49), 'acc': np.float64(83.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.62), 'acc': np.float64(93.34), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.24), 'acc': np.float64(86.4), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.72), 'acc': 84.57, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(75.55), 'acc': 82.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.57), 'acc': 65.97, 'f1': 79.25, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(73.8), 'acc': np.float64(73.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.35), 'acc': np.float64(78.97), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.1), 'acc': np.float64(91.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(80.83), 'acc': np.float64(80.8), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.15), 'acc': 75.45, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(57.85), 'acc': 62.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.14), 'acc': 69.04, 'f1': 79.56, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(78.37), 'acc': np.float64(77.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.46), 'acc': np.float64(84.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.27), 'acc': np.float64(93.2), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.93), 'acc': np.float64(84.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.11), 'acc': 82.32, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(72.23), 'acc': 81.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.82), 'acc': 68.99, 'f1': 79.32, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG-NS_LOO-SENTEVAL,768,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(78.54), 'acc': np.float64(78.45), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.01), 'acc': np.float64(84.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.45), 'acc': np.float64(93.38), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.6), 'acc': np.float64(85.72), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 82.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(79.42), 'acc': 85.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.52), 'acc': 73.91, 'f1': 81.66, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(77.85), 'acc': np.float64(77.74), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.54), 'acc': np.float64(83.26), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.68), 'acc': np.float64(93.44), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(84.2), 'acc': np.float64(84.21), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.59), 'acc': 80.07, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(66.53), 'acc': 77.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.62), 'acc': 66.67, 'f1': 78.7, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(78.19), 'acc': np.float64(77.98), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.67), 'acc': np.float64(83.34), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.72), 'acc': np.float64(93.68), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.54), 'acc': np.float64(85.41), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.42), 'acc': 82.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(72.51), 'acc': 79.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.56), 'acc': 69.8, 'f1': 80.14, 'ndev': 4076, 'ntest': 1725}"
modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,1536,dynamic_layer_weighted_sum-cls_avg,4,0,22,"{'devacc': np.float64(78.37), 'acc': np.float64(78.45), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.14), 'acc': np.float64(83.81), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.29), 'acc': np.float64(93.03), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.23), 'acc': np.float64(85.49), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.34), 'acc': 83.03, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(71.72), 'acc': 84.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.74), 'acc': 67.88, 'f1': 79.65, 'ndev': 4076, 'ntest': 1725}"
