,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,74.36,78.36,92.21,82.25,78.14,77.2,69.22,78.82000000000001
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.49,83.82,93.51,86.34,83.47,84.6,67.71,82.56285714285715
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.52,84.45,93.11,85.79,84.07,90.6,69.04,83.6542857142857
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.03,83.53,93.69,86.27,83.75,86.0,65.86,82.44714285714285
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.34,83.36,93.72,86.28,83.86,89.0,65.97,82.93285714285715
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.35,84.08,93.16,86.03,84.02,86.6,65.74,82.56857142857143
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.31,83.28,93.34,86.4,84.57,82.2,65.97,82.01
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,73.56,78.97,91.75,80.8,75.45,62.8,69.04,76.05285714285715
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,77.93,84.34,93.2,84.87,82.32,81.6,68.99,81.89285714285714
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.45,84.16,93.38,85.72,82.43,85.0,73.91,83.29285714285716
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,77.74,83.26,93.44,84.21,80.07,77.4,66.67,80.39857142857143
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,77.98,83.34,93.68,85.41,82.15,79.8,69.8,81.73714285714286
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.45,83.81,93.03,85.49,83.03,84.2,67.88,82.26999999999998
13,modern-bert-base,CLS+AVG+AVG-NS_LOO-SENTEVAL,three-tokens,CLS+AVG+AVG-NS,LOO-SENTEVAL,4,2304,22,0,None,dynamic_layer_weighted_sum-cls_avg,77.98,83.42,93.63,85.22,81.6,79.6,65.8,81.03571428571429
14,modern-bert-base,CLS_AVG-SENTEVAL,simple,CLS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,73.61,78.91,92.28,80.46,75.29,63.8,68.99,76.19142857142857
15,modern-bert-base,AVG_AVG-SENTEVAL,simple,AVG,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.39,84.18,93.23,85.2,81.33,79.8,70.55,81.81142857142856
16,modern-bert-base,AVG-NS_AVG-SENTEVAL,simple-ns,AVG-NS,AVG-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.4,83.82,93.21,85.83,83.14,88.0,72.29,83.52714285714285
