,model,pooling,type_pooling,agg,layer,epochs,out_vec_size,qtd_layers,nhid,params,best_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,avg_tasks
0,modern-bert-base,CLS_IN-TASK,simple,CLS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,74.5,79.3,91.97,82.43,79.47,68.91,70.02,78.08571428571429
1,modern-bert-base,AVG_IN-TASK,simple,AVG,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.68,84.45,93.38,86.26,83.49,77.0,68.03,81.61285714285714
2,modern-bert-base,AVG-NS_IN-TASK,simple-ns,AVG-NS,IN-TASK,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.7,84.2,93.25,85.87,83.94,83.58,69.63,82.73857142857142
3,modern-bert-base,CLS+AVG_IN-TASK,two-tokens,CLS+AVG,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.25,83.32,93.78,86.3,83.37,73.44,67.27,80.81857142857143
4,modern-bert-base,CLS+AVG-NS_IN-TASK,two-tokens,CLS+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.67,83.54,93.73,86.05,83.37,80.63,67.81,81.97142857142856
5,modern-bert-base,AVG+AVG-NS_IN-TASK,two-tokens,AVG+AVG-NS,IN-TASK,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.64,84.17,93.27,85.98,83.83,77.97,68.06,81.70285714285716
6,modern-bert-base,CLS+AVG+AVG-NS_IN-TASK,three-tokens,CLS+AVG+AVG-NS,IN-TASK,4,2304,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.56,83.49,93.62,86.24,83.72,75.55,67.57,81.25
7,modern-bert-base,CLS_LOO-SENTEVAL,simple,CLS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,73.8,79.35,92.1,80.83,76.15,57.85,70.14,75.74571428571429
8,modern-bert-base,AVG_LOO-SENTEVAL,simple,AVG,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.37,84.46,93.27,84.93,82.11,72.23,69.82,80.74142857142859
9,modern-bert-base,AVG-NS_LOO-SENTEVAL,simple-ns,AVG-NS,LOO-SENTEVAL,4,768,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.54,84.01,93.45,85.6,82.45,79.42,72.52,82.28428571428572
10,modern-bert-base,CLS+AVG_LOO-SENTEVAL,two-tokens,CLS+AVG,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,77.85,83.54,93.68,84.2,79.59,66.53,68.62,79.14428571428572
11,modern-bert-base,CLS+AVG-NS_LOO-SENTEVAL,two-tokens,CLS+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.19,83.67,93.72,85.54,81.42,72.51,70.56,80.80142857142857
12,modern-bert-base,AVG+AVG-NS_LOO-SENTEVAL,two-tokens,AVG+AVG-NS,LOO-SENTEVAL,4,1536,22,0,None,dynamic_layer_weighted_sum-cls_avg,78.37,84.14,93.29,85.23,82.34,71.72,68.74,80.54714285714286
